node_1,node_2,edge
ajay devgan,vicky,Ajay Devgan plays the dual role of Vicky and Rohit Verma in the movie.
ajay devgan,rohit verma,"In the movie, Ajay Devgan portrays both Vicky and Rohit Verma, who are related characters."
madhuri dixit,neha verma,"Madhuri Dixit acts as Neha Verma, who is Rohit's wife in the movie."
sunny deol,sagar,"Sunny Deol makes a special appearance as Sagar, Neha's friend in the movie."
kiran kumar,ranjan sharma,"Kiran Kumar plays the role of Ranjan Sharma, who is Neha's father in the movie."
vikram gokhale,pratap verma,"In the movie, Vikram Gokhale essays the character of Pratap Verma, Rohit's father."
deep dhillon,bhanwarlal,Deep Dhillon portrays Bhanwarlal in the movie.
smita jaykar,aarti sharma,"In the movie, Smita Jaykar acts as Aarti Sharma."
rajeev verma,dr. ashok,"Rajeev Verma plays Dr. Ashok, who is Pratap's friend in the movie."
shammi,rekha verma rohit's grandmother,"In the movie, Shammi portrays Rekha Verma Rohit's grandmother."
lalit tiwari,ashok sharma,Lalit Tiwari acts as Ashok Sharma in the movie.
asha sharma,sarla,"In the movie, Asha Sharma plays Sarla."
jayshree t. ,neha's aunt,Jayshree T. Plays Neha's aunt in the movie.
mayur,vikram bhanwarlal's brother,"In the movie, Mayur portrays Vikram Bhanwarlal's brother."
brij gopal ,lalit,"In the movie, Brij Gopal acts as Lalit."
madan jain,avinash,Madan Jain plays Avinash in the movie.
tiku talsania,kishanchand bhagwandas chellaramani,"In the movie, Tiku Talsania portrays Kishanchand Bhagwandas Chellaramani."
