node_1,node_2,edge
johnny,chris-r,rescued from fight with drug dealer
peter,mark,confides in about affair with Lisa
steven,lisa,catches kissing Mark at surprise birthday party for Johnny
lisa,mark,"announce false pregnancy and flaunt affair, leading to physical altercation with Johnny"
johnny,lisa,betrayal in affair with Mark
mark,johnny,physical altercation caused by Lisa's betrayal
lisa,johnny,Lisa calls Mark after Johnny berates her for betraying him
johnny,cassette recorder,attaches cassette recorder to phone to listen to intimate call between Lisa and Mark
johnny,apartment,destroys apartment in fit of nervous breakdown after listening to intimate call
johnny,suicide,commits suicide by shooting himself in the mouth
