node_1,node_2,edge
lebron james,game boy,"In 1998, a young LeBron James attends a youth league basketball game. His friend Malik gives him a Game Boy, which LeBron plays with until the coach demands that he concentrate on the basketball. LeBron misses a potential buzzer beater and is reprimanded for not staying focused. Ashamed, he discards the Game Boy."
lebron james,darius,"LeBron encourages his sons, Darius and Dominic, to pursue basketball careers. While his attempts with Darius are successful,"
lebron james,dominic,"...his other son, Dominic ('Dom') aspires to become a video game developer."
dominic,warner bros. studios,"LeBron, Malik, and Dom are later invited to Warner Bros. Studios to discuss a film deal."
dominic,al-g rhythm,"...Dom is interested in the studio’s software, particularly its AI, Al-G Rhythm."
al-g rhythm,lebron james,"Having become self-aware and desiring more recognition in the world, Al-G lures LeBron and Dom to the server room and traps them in the digital world 'Warner Bros. Serververse'."
al-g rhythm,dominic,"Al-G takes Dom prisoner and orders LeBron to form a basketball team to compete against his own, only earning his freedom if he wins,"
lebron james,looney tunes,"Using Marvin's spacecraft, the two travel to various worlds to locate and recruit the other Looney"
bugs bunny,lebron james,"...They find Tune World abandoned except for Bugs Bunny,"
serververse,looney tunes,The Looney Tunes leave their world and explore the Serververse using Marvin's spacecraft.
tune squad,looney tunes,Bugs Bunny forms the Tune Squad by locating and recruiting other Looney Tunes in the Serververse.
goon squad,a squad of avatars composed of real basketball players led by dom.,Al-G's team that opposes the Tune Squad in the Serververse.
bugs bunny,lebron james,Bugs protests against LeBron's insistence on teaching basketball fundamentals to the Tune Squad in Tune World.
lebron james,goon squad,Al-G abducts LeBron's family and other real-world people into the Serververse and threatens to imprison them permanently.
looney tunes,dom ball,"Al-G manipulates Dom into recreating his basketball-based video game, Dom Ball, inside the Serververse."
serververse,cgi,Al-G transforms Tune World into CGI and streams the game live to the world.
tune squad,cartoon physics,LeBron allows the Looney Tunes to use their cartoon physics during the second half of the game.
goon squad,superpowers,The Goon Squad uses superpowers to score extreme style points and takes a huge lead in the first half.
tune squad,rally,The Tune Squad rallies and takes the lead during the second half of the game.
dom ball,bug in dom ball's code,"LeBron recalls a bug in Dom Ball's code, which allows the Tune Squad to win the game."
lebron,dom ball's code,"LeBron recalls a bug in Dom Ball's code and volunteers to perform a specific move that results in the deletion of characters, including himself due to being a real person. However, Bugs intercepts the pass and performs the move, sacrificing his life."
lebron,looney tunes,LeBron accepts the Looney Tunes as his extended family and allows them to live with him temporarily after they enter the real world through their cartoon physics.
bugs,looney tunes,"Bugs regenerates and reunites with his friends, who have also entered the real world after being deleted along with Al-G and the Goon Squad."
lebron,serververse,"LeBron scores the winning point with Dom's help, resulting in the restoration of both the Looney Tunes and the Serververse after they were deleted during the game."
dom ball's code,e3 game design camp,"LeBron allows Dom to attend the E3 Game Design Camp, respecting his wishes after the bug in his code caused the deletion of characters during the game."
