node_1,node_2,edge
alia bhatt,gangubai kathiawadi,"Alia Bhatt portrays the character of Gangubai Kathiawadi, a female mafia don and a brothel madame in Kamathipura."
ajay devgn,rahim lala,"Ajay Devgn plays the character of Rahim Lala, a mafia don of South Bombay of Afghan origins & Gangubai's sworn brother (character loosely based on Karim Lala)."
shantanu maheshwari,afsaan badr-ur-razzaq,"Shantanu Maheshwari portrays the character of Afsaan Badr-ur-Razzaq, a tailor from Calcutta who came to Bombay for learning the trade from his uncle."
vijay raaz,raziabai,"Vijay Raaz depicts the character of Raziabai, a castrated male sex-worker of Kamathipura."
indira tiwari,kamli,"Indira Tiwari enacts the role of Kamli, a prostitute who became Gangu's best friend & worked in the same brothel."
seema pahwa,sheela,"Seema Pahwa portrays the character of Sheela, the madame who purchased Ganga."
varun kapoor,ramnik lal,"Varun Kapoor plays the character of Ramnik Lal, a pimp who pretended to be in love with Gangu & then proceeded to sell her into prostitution."
jim sarbh,hamid faizi,"Jim Sarbh enacts the role of Hamid Faizi, a journalist working for the Bombay Urdu Times."
rahul vohra,prime minister,Rahul Vohra plays the character of Prime Minister (character based on Jawaharlal Nehru)
anmol kajani,birju,"Anmol Kajani portrays the role of Birju, Gangubai's butler."
prashant kumar,badri,"Prashant Kumar enacts the role of Badri, Sheela's (& later Gangubai's) henchman."
raza murad,builder's agent,Raza Murad plays the character of the builder's agent
chhaya kadam,rashmibai,"Chhaya Kadam depicts the role of Rashmibai, a fellow madame of Kamathipura."
mitalee jagtap,kusum,"Mitalee Jagtap portrays the character of Kusum, a prostitute from Kamathipura who became Gangu & Kamli's friend and worked in the same brothel as them."
pallavi jadhav,rama,"Pallavi Jadhav portrays the character of Rama, a prostitute from Kamathipur."
kruti saxena,nimmi,"Kruti Saxena enacts the role of Nimmi, a prostitute from Kamathipur."
sonal sagore,banno,"Sonal Sagore portrays the character of Banno,  a prostitute from Kamathipur"
kamathipura,nimmi,"Kruti Saxena plays the role of Nimmi, a prostitute from Kamathipura in this movie."
banno,kamathipura,"Sonal Sagore portrays the character of Banno, another prostitute from Kamathipura as depicted in this story."
lata,kamathipura,"Lata Singh essays the part of Lata, a sex worker belonging to Kamathipura."
ekta,kamathipura,"Ekta Shri enacts the character of Ekta, a hooker from Kamathipura in this film."
abhirami,kamathipur,"Abhirami Bose depicts the role of Abhirami, a prostitute from Kamathipura as portrayed in this movie."
chum,kamathipur,"Chum Darang plays the part of Chum, another sex worker from Kamathipura as displayed in this storyline."
shaukat abbas khan,client,"Jahangir Khan embodies the character of Shaukat Abbas Khan, a cruel client who hurts Gangu in this film."
liaquat,rahim lala's henchman,"Faiz Khan portrays the character of Liaquat, one of Rahim Lala's henchmen as displayed in this movie."
jugnu,molested prostitute,"Rakesh Bhavsar plays the role of Jugnu, a man who attempted to molest Gangu when she led a group of her fellow sex workers to watch cinema in a nearby theatre while observing a day off from work."
pinku,raziabai's henchman,"Roshan Chatterjee depicts the part of Pinku, one of Raziabai's henchmen as portrayed in this story."
dilruba,qawali singer,"Huma Qureshi makes a special appearance in the song 'Shikayat' as Dilruba, a Qawali singer."
