node_1,node_2,edge
darsheel safary,ishaan nandkishore awasthi,Darsheel Safary portrays the character of Ishaan Nandkishore Awasthi in the movie.
veer mohan,young ishaan,Veer Mohan plays the role of young Ishaan in the movie.
aamir khan,ram shankar nikumbh,"Aamir Khan portrays the character of Ram Shankar Nikumbh, an art teacher at New Era High School and Ishaan's tutor in the movie."
tisca chopra,maya nandkishore awasthi,"Tisca Chopra acts as Maya Nandkishore Awasthi, Nandkishore's wife and Yohaan's and Ishaan's mother in the movie."
vipin sharma,nandkishore awasthi,"Vipin Sharma plays the role of Nandkishore Awasthi, Maya's husband and Yohaan's and Ishaan's father in the movie."
sachet engineer,yohaan nandkishore awasthi,"Sachet Engineer portrays the character of Yohaan Nandkishore Awasthi, Nandkishore's and Maya's first son and Ishaan's elder brother in the movie."
aniket engineer,young yohaan,Aniket Engineer plays the role of young Yohaan in the movie.
tanay chheda,rajan damodran,"Tanay Chheda acts as Rajan Damodran, Ishaan's best friend and classmate at New Era High School in the movie."
ramit gupta,ranjeet,Ramit Gupta portrays the character of Ranjeet in the movie.
girija oak,jabeen khan,"Girija Oak acts as Jabeen Khan, Ram's co-worker in the movie."
bugs bhargava,sen sir,Bugs Bhargava portrays the character of Sen Sir in the movie.
shankar sachdev,tiwari sir,Shankar Sachdev acts as Tiwari Sir in the movie.
m. k. raina,principal of new era high school,M. K. Raina portrays the character of Principal of New Era High School in the movie.
pratima kulkarni,principal of st. anthony's school,Pratima Kulkarni acts as Principal of St. Anthony's School in the movie.
meghna malik,victoria teacher,"Meghna Malik portrays the character of Victoria Teacher, class teacher and mathematics teacher of Ishaan's former school, St. Anthony's School in the movie."
meghna malik,"ishaan's former school, st. anthony's school","Meghna Malik served as Victoria Teacher, class teacher and mathematics teacher at Ishaan's former school, St. Anthony's School."
sonali sachdev,st. anthony's school,Sonali Sachdev worked as Irene Teacher at St. Anthony's school.
