node_1,node_2,edge
aang,avatar,"Aang is the Avatar, capable of manipulating all four elements of air, water, earth, and fire."
aang,monk gyatso,Aang's guardian Monk Gyatso was wiped out by the Fire Nation along with the other Air Nomads.
spirit world,dragon spirit,"In the Spirit World, Aang encounters a Dragon Spirit."
aang,sokka,Aang surrenders himself to save the Southern Water Tribe village and is accompanied by Sokka and Katara in his journey.
katara,sokka,Katara and Sokka are siblings who accompany Aang on his journey.
earth kingdom village,fire nation soldiers,The group arrives at an Earth Kingdom village controlled by the Fire Nation and is arrested and imprisoned by their soldiers.
fire nation,other air nomads,The Fire Nation wiped out the other Air Nomads along with Monk Gyatso.
aang,fire nation soldiers,"incite a rebellion, battling and defeating"
aang,northern water tribe,makes his way to learn from waterbending masters
aang,blue spirit,"captured by Fire Nation archers led by Commander Zhao, but a masked marauder called the Blue Spirit helps escape"
zuko,crossbowman,fire a bolt that knocks Zuko out
aang,zuko,"watches over until morning, then leaves to reunite with Sokka and Katara. Zhao tries again to kill Zuko by blowing up his ship, but Zuko secretly survives and sneaks aboard Zhao's ship."
pakku,aang,waterbending master teaches Aang and Katara
katara,aang,"defeats Katara in battle, then captures Aang"
dragon spirit,aang,search for the Dragon Spirit for help to defeat the Fire Nation
aang,zuko,"Aang battles Zuko until Katara freezes Zuko in ice, then leaves to join the battle."
katara,zuko,"Katara freezes Zuko in ice,"
iroh,zhao,Iroh's uncle Iroh and Zhao make their way to a sacred cave where Zhao captures the Moon Spirit.
zhao,moon spirit,Zhao captures the Moon Spirit to strip all the waterbenders of their abilities.
moon spirit,princess yue,Princess Yue gives her life to revive the Moon Spirit.
iroh,zhao,"Despite Iroh's pleas, Zhao kills the Moon Spirit to strip all the waterbenders of their abilities. Enraged by Zhao's sacrilege, Iroh reveals his mastery of firebending, frightening Zhao and his entourage out of the sacred cave."
fire lord ozai,princess azula,Fire Lord Ozai tasks his daughter Princess Azula with preventing the Avatar from mastering earth and fire.
aang,avatar state,"Recalling his life before being trapped in the ice, Aang enters the Avatar State and raises the ocean into a gigantic wall to drive the Fire Nation back."
