node_1,node_2,edge
earth,garbage-strewn wasteland,"caused by rampant consumerism, corporate greed, and environmental neglect."
humanity,megacorporation buy n large (bnl),evacuated to space 700 years prior
earth,trash-compacting robots,left to clean up the planet
wall·e,humanity's evacuation,in space by the megacorporation Buy n Large (BnL) 700 years prior
wall·e,trash-compacting robots,remains active by salvaging parts from inactive robots
eve,wall·e,arrives and is smitten by
eve,living seedling,"takes and shows to its mothership, the starliner Axiom"
captain b. mccrea,axiom's passengers,unprepared for the positive probe response
wall·e,plant,discovers that placing the plant in the ship's Holo-Detector will trigger a hyperjump back to Earth so that humanity can begin recolonization
eve,wall·e,blames WALL·E for the disappearance of the plant
eve,plant,"tries to send WALL·E home in an escape pod with the plant, but witness GO-4 stowing the plant in a pod set to self-destruct"
wall·e,plant,retrieves the plant just as it launches from the escape pod and survives the destruction of the pod
mccrea,eve,concludes that they must save Earth after watching EVE's recordings
auto,wall·e,electrocutes WALL·E and throws him and EVE down a garbage chute
wall·e,m-o,"While trying to eject EVE and WALL·E into space with the Axiom's garbage, M-O accidentally jams the airlock and saves their lives."
wall·e,axiom,WALL·E is a cleaning robot located in his quarters on board the Axiom.
eve,m-o,"EVE and WALL·E are nearly ejected into space with the Axiom's garbage, but M-O inadvertently jams the airlock and saves them."
mccrea,auto,McCrea and AUTO fight for control of the Axiom.
plant,holo-detector,"EVE inserts the plant into the Holo-Detector, initiating the hyperjump back to Earth."
humans,robots,Humans and robots help in securing the plant and turn the ravaged planet into a paradise.
wall·e,memory,"WALL·E's memory and personality are erased after being crushed by the Holo-Detector, but he is restored with a goodbye 'kiss' from EVE."
axiom,earth,"The Axiom arrives on Earth after the hyperjump initiated by EVE, and humans and robots begin their first steps on the planet."
tree,wall·e,The plant grows into a mighty tree beneath which WALL·E and EVE rest.
