node_1,node_2,edge
riggs,prairie dog,"Riggs drives past a prairie dog and throws a cigar at it, causing a raccoon to signal a mink to release a boulder that pushes Riggs' car to the edge of a cliff."
riggs,raccoon,"Riggs yells at a raccoon for screaming after he throws a cigar at a prairie dog, and the raccoon throws the cigar back to Riggs."
dan sanders,lyman enterprise ceo neal lyman,Dan talks to Lyman on the phone while planning to check up on a co-worker.
riggs,quits,Riggs calls up Lyman to tell him that he quits after being thrown off a cliff by a boulder released by a mink signaled by a raccoon.
dan sanders,rocky springs forest,Dan is given the task of turning the forest of Rocky Springs into a residential development by Lyman.
dan sanders,tyler,Dan's son Tyler objects to his father's plan to turn Rocky Springs into a residential development.
dan sanders,tammy,Dan's wife Tammy is unhappy in Rocky Springs and misses their lives in Chicago.
animals,rocky springs forest,The animals led by the raccoon refuse to sit back and watch their forest being destroyed.
dan sanders,grizzly bear attack,Dan experiences an attack by a grizzly bear while working in Rocky Springs.
tyler,rocky springs forest reserve,Tyler warns his father that many have tried to settle Rocky Springs but they all failed because it is a forest reserve.
dan,father,relationship between Dan and his father where Dan warns his father about the failure of others in settling Rocky Springs
rocky springs,settlement attempt,many have tried to settle Rocky Springs but they all failed
dan,grizzly bear attack victim,Dan gets attacked by a grizzly bear while in a portable toilet
dan,drill sergeant capture order,Dan signs orders to have a drill sergeant capture and cage all the animals
dan,eco-friendly fair planner,Tammy is forced to plan an 'eco-friendly' fair with a senile teacher Mrs. Martin at the high school
tammy,dan's daughter,relationship between Tammy and Dan
lyman enterprises,house and shopping mall construction sponsor,Lyman Enterprises sponsors the 'eco-friendly' fair at the high school
tammy,unaware of lyman's plans,Tammy is unaware of Lyman's plans to cut down the forest to build houses and a shopping mall 'with a forest theme'
dan,decides to set animals free,"Once released, the raccoon and his friends immediately wreak havoc on the eco-fair"
tammy,eco-friendly fair planner after dan sets animals free,Tammy is still listed as the eco-friendly fair planner even after Dan sets the animals free
mrs. martin,senile teacher,Mrs. Martin is a senile teacher at the high school where Tammy plans the eco-friendly fair
mrs. martin,talks to an owl,Mrs. Martin talks to an owl during the chaos caused by Dan's released animals at the eco-friendly fair
lyman,accidentally tranquilizes sponsor,Lyman accidentally tranquilizes the sponsor for the construction named Mr. Gupta after he attempted to break their deal
mr. gupta,sponsor for construction,Mr. Gupta is the sponsor for the construction Lyman is planning in the forest
lyman,flees into a worm tunnel,Lyman flees into a worm tunnel with the animals in close pursuit
bear,drives a golf cart,"The bear drives a golf cart, pulling the worm tunnel away into the forest"
tyler,finally tells his father that he loves him,"Three months later, Tyler finally tells his father that he loves him"
dan,works as a park ranger,"Three months later, the forest is reclaimed as a nature preserve with Dan working as a park ranger"
dan,park ranger,Dan is working as a park ranger.
forest preservation,promoting,The poster promotes forest preservation.
$1 million,fined,Anyone who violates the rules will be fined $1 million.
