node_1,node_2,edge
"irish-american friends jimmy markum, sean devine, and dave boyle",street hockey,activity performed by the friends
jimmy markum,ex-convict and neighborhood convenience store owner,later stage of jimmy's life
dave boyle,blue-collar worker constantly haunted by the abduction and rape he suffered,effect of the abduction on dave
brendan harris,boyfriend of katie markum,relationship between katie and brendan
jimmy markum and annebeth,cousins who are married to dave boyle and jimmy respectively,relation between annabeth and jimmy through dave
withey powers,sean's partner,partner of sean during investigation
katie,witness,A witness statement suggests that Katie may have known her killer.
detectives,gun,"The detectives learn that the gun used to kill her, a .38 Special revolver, was also used in a liquor store robbery..."
.38 special revolver,liquor store robbery,"...by 'Just Ray' Harris, the father of Brendan."
brendan,gun,Brendan claims he still sends his family $500 monthly. Brendan feigns ignorance about Ray's gun.
whitey,dave,"Whitey suspects Dave, who keeps changing the story about how his hand got injured."
celeste,dave,"Dave continues to behave erratically, which upsets Celeste to the point that she leaves their home and tells Jimmy she suspects Dave is Katie's murderer."
jimmy,celeste,Celeste leaves their home and tells Jimmy she suspects Dave is Katie's murderer.
jimmy,dave,"Jimmy and his friends invite Dave to a local bar, get him drunk and confront him when he is about to vomit."
jimmy,katie,"Jimmy admits to Dave that he killed 'Just Ray' for implicating him in the liquor store robbery, which resulted in his imprisonment."
dave,katie,"Dave reveals to Jimmy that he did kill someone that night, but it was not Katie."
dave,child molester,He beat to death a child molester whom he found with a child prostitute.
jimmy,dave,"When Dave does so, Jimmy kills him and disposes of his body in the adjacent Mystic River."
katie,john,John and 'Silent Ray' confessed to killing Katie as part of a prank gone wrong.
katie,'silent ray',Brendan confronted 'Silent Ray' and John O'Shea about Katie's murder and tried to get them to admit their guilt.
dave,sean,"Sean is looking for Dave, who is wanted for questioning in the murder of a known child molester."
celeste,jimmy,"Jimmy does not answer when Sean asks if he has seen Dave, instead thanking Sean for finding Katie's killers and remarking, 'if only you'd been a little faster.'"
sean,lauren,Sean reunites with Lauren after apologizing for pushing her away.
jimmy,annabeth,"Jimmy confesses what he's done to Annabeth and she tells him, 'a king knows what to do and does it. Even when it's hard.'"
sean,jimmy,"Sean mimics a gunshot at Jimmy during a local parade, implying he is going to make Jimmy pay."
