node_1,node_2,edge
parasite,poor family,"represents the poor family infiltrating and creeping into the rich house, as the film's title serves a double meaning"
parasite,rich family,"both are parasites in terms of labor, as they leech off the poor family's labor for tasks such as washing dishes and driving"
the housemaid,okja,"Bong Joon-ho, the director of Okja, cited The Housemaid as an influence on his film. Both films explore the theme of a disruptive interloper threatening the stability of a middle-class family."
christine and léa papin,okja,"Bong Joon-ho drew inspiration from the case of Christine and Léa Papin, two live-in maids who murdered their employers in 1930s France. The incident is reflected in the plot of Okja as it explores the theme of a disruptive interloper threatening the stability of a wealthy family."
bong joon-ho,tutor for a rich family,Bong Joon-ho worked as a tutor for a rich family. This experience gave him insight into the private lives of complete strangers and inspired the theme of infiltration in Okja.
moon-gwang,allergy to peaches,Bong Joon-ho's university friend having an allergy to peaches inspired the character Moon-gwang's allergy in Okja.
parasite,darcy paquet,"American residing in South Korea, Darcy Paquet, translated the English subtitles for Parasite with Bong."
jjapaguri or chapaguri,ram-don,"A dish cooked by a character in the film, Jjapaguri or Chapaguri, was rendered as ram-don by Darcy Paquet."
ram-don,chapagetti and neoguri,"Jjapaguri or Chapaguri is a mix of Chapagetti and Neoguri produced by Nongshim, as explained by Darcy Paquet."
oxford university,darcy paquet,"During the translation process, Darcy Paquet chose Oxford University over Harvard because of Bong's affinity for the United Kingdom."
whatsapp,darcy paquet,"On one occasion, Darcy Paquet used WhatsApp instead of KakaoTalk during the translation process."
english subtitles,parasite,Darcy Paquet translated the English subtitles for Parasite with Bong.
principal photography,parasite,"Principal photography for Parasite began on May 18, 2018, and ended on September 19."
seoul,filming locations for parasite,Filming for Parasite took place around Seoul and in Jeonju.
hong kyung-pyo,parasite,"The director of photography for Parasite was Hong Kyung-pyo, a well-known South Korean cinematographer."
parks' house,set,The Parks' house was a specially constructed set.
ground floor,parks' house,"The ground floor and the garden were constructed on an empty outdoor lot, while the basement and first floor were constructed on set."
first floor,parks' house,"The ground floor and the garden were constructed on an empty outdoor lot, while the basement and first floor were constructed on set."
vfx,parks' house,"'When we shot toward the outside from inside, everything beyond the garden was all VFX.'"
universe,parks' house,"Each character and each team has spaces that they take over, that they can infiltrate, and also secret spaces that they don't know."
namgoong hyeonja,parks' house,"A fictional architect, Namgoong Hyeonja, was created as the home's designer and previous owner,"
form,namgoong hyeonja,production designer Lee Ha-jun considered the house's form and function based on how Namgoong would design it.
function,namgoong hyeonja,production designer Lee Ha-jun considered the house's form and function based on how Namgoong would design it.
lee,mr park's house,"Lee mentioned that since Mr Park's house is built by an architect in the story, it wasn't easy finding the right approach to designing the house."
mr park's house,architect,"Lee explained that while Mr Park's house is built by an architect in the story, there's a difference in how an architect envisions a space and how a production designer approaches designing a space."
ha-jun,namgoong,Ha-jun established that Namgoong would have used the first floor's living room to appreciate the garden.
namgoong,single wide window,"Ha-jun mentioned that for Namgoong, a single wide window was built in the first floor's living room to appreciate the garden."
namgoong,spartan seating options,"Ha-jun specified that for Namgoong, there were only spartan seating options in the first floor's living room."
set designers,seung-mo park,"Some of the interior artwork in the house sets were by South Korean artist Seung-mo Park, including existing artwork of hers and some created for the film."
set designers,wide and deep rooms,"The team designed the home and interiors to make the set amenable for filming at the 2.35:1 aspect ratio, favoring wide and deep rooms rather than height."
sun,outdoor lots,The sun's direction was a crucial point of consideration while searching for outdoor lots. We had to remember the sun's position during our desired time frame and determine the positions and sizes of the windows accordingly.
sun,kims' flat,The sun was an important factor when building the outdoor set for the Kims' flat. Lee Ha-jun visited abandoned villages and towns to help inform the set design and improve the authenticity of the street's appearance.
kims' flat,kims' semi-basement flat,"The Kims' semi-basement flat was also built on set, partially out of necessity for the flooding scenes."
set design,abandoned villages and towns,Lee Ha-jun visited abandoned villages and towns to help inform the set design.
dp,color,"The DP had specific requests regarding the color of practical lighting, wanting sophisticated indirect lighting and warmth from tungsten light sources."
dp,sun's movement,"Before building the set, the DP and I visited the lot several times to check the sun's movement each time."
dp,set design,The DP and I decided on the set's location together.
editing,bong,"According to editor Yang Jin-mo, Bong chose to shoot the film without traditional coverage."
final cut pro 7,editing,"Yang edited the film using Final Cut Pro 7, a program not updated since 2011."
parasite,color,The film was produced for release in color.
parasite,black and white version,A black and white version was produced before the world premiere in Cannes.
parasite,limited release,It also received a limited release in some countries.
parasite,soundtrack,"The film's score, by South Korean composer Jung Jae-il,"
parasite,minimalist piano pieces,"consisted of 'minimalist piano pieces, punctuated with light percussion', setting the film's 'tense atmosphere'."
parasite,baroque texture,It also had a baroque texture with excerpts from Handel's opera Rodelinda and the 1964 Italian song 'In ginocchio da te' by Gianni Morandi.
parasite,computer sounds,It was recorded mostly through computer sounds.
soju han jan,original song,The song 'Soju han jan' is an original composition created specifically for this film.
soju han jan,performed by choi woo-shik,"Choi Woo-shik, the actor playing Ki-woo in the movie, also sings the song 'Soju han jan' during the end credits."
soju han jan,korean,"The title of the song 'Soju han jan', which means 'A glass of soju' in Korean, reflects its theme and cultural context."
soju han jan,marketing,"During international digital releases, the song was marketed as 'Soju One Glass' due to the similarity of the phonetic pronunciation in English."
soju han jan,academy awards,The song was later renamed to a grammatically correct title to be eligible for nomination in the Best Original Song category at the Academy Awards.
