node_1,node_2,edge
anton chigurh,sheriff's deputy,strangled by Chigurh while escaping from custody
anton chigurh,captive bolt pistol,used by Chigurh to kill driver and steal car
llewelyn moss,pronghorns,Moss is hunting pronghorns in the desert
llewelyn moss,drug deal gone wrong,Moss comes across the aftermath of a drug deal gone wrong
llewelyn moss,dead men,Moss finds several dead men in the aftermath of the drug deal gone wrong
llewelyn moss,wounded mexican man,Moss finds a wounded Mexican man begging for water in the aftermath of the drug deal gone wrong
llewelyn moss,truck,Moss finds a truck containing drugs in the aftermath of the drug deal gone wrong
briefcase,$2 million in cash,The briefcase contains $2 million in cash that Moss finds in the aftermath of the drug deal gone wrong
llewelyn moss,carla jean,"Moss sends his wife, Carla Jean, to stay with her mother"
two men with guns,river,"Moss escapes into a river, shooting the men's dog as it chases him"
chigurh,moss,"hired to recover missing money, Chigurh searches Moss' trailer home using his bolt pistol to blow out the door lock"
moss,del rio motel,takes a taxi to a motel in Del Rio and hides the briefcase in his room's air duct
chigurh,moss' motel,goes to Moss' motel and kills a group of Mexicans following a tracking device hidden in the case
moss,del rio motel,retrieves the briefcase before Chigurh opens the duct
moss,hotel in eagle pass,moves to a hotel in the border town of Eagle Pass
chigurh,moss,"firefight spills onto the streets, badly wounding both and killing a truck driver in Eagle Pass"
carson wells,moss,"offers Moss protection in exchange for the money, but he refuses"
chigurh,wells,ambushes Wells at his hotel and shoots him while bartering for his life
moss,rio grande,hides the case along the Rio Grande
chigurh,carla jean,vows to kill Carla Jean unless Moss gives up the money via phone call
moss,carla jean,"Moss retrieves the case from the Rio Grande and arranges to meet Carla Jean at a motel in El Paso, where he plans to give her the money and hide her from danger."
carla jean,moss' location,"Bell reaches the motel in El Paso, only to find that the Mexicans have killed Moss. Carla Jean arrives later and bursts into tears when Bell somberly removes his hat."
carla jean's mother,group of mexicans tailing them,"Bell's thoughts: Bell thinks that Chigurh is hiding, but when Bell hesitantly enters, he finds the room empty. Later, Bell visits his cousin Ellis and tells him he plans to retire because he feels overmatched by the recent violence."
carla jean,chigurh,"Chigurh waits in the bedroom. Chigurh says he must fulfill his vow, but offers a coin toss as a compromise. Carla Jean refuses to call it, saying that he will be responsible for her fate."
chigurh,bell,"Carla Jean returns from her mother's funeral to find Chigurh waiting in the bedroom. As he drives through the neighborhood, another car crashes into him, breaking his arm."
chigurh,passing boy,Chigurh asks a passing boy for a shirt to use as a sling and flees on foot.
retirement,bell,Bell has retired from his previous occupation.
bell,father,Bell's father is still alive and has given him some money.
money,bell,Bell lost some money that his father had given him in his dreams.
pass,bell,"In Bell's dream, he rode through a snowy mountain pass."
father,campfire,"In Bell's dream, his father rode past him to prepare a campfire ahead."
