node_1,node_2,edge
movie's,plot,"represents the key concepts of this context. MOVIE'S refers to a specific movie, while PLOT represents the storyline or sequence of events in that movie."
rayne,kagan,"daughter of, feared interference from"
rayne,mother,raped and murdered by Kagan
rayne,brimstone society,encountered and saved by members
rayne,monastery,shelters for the night at
monastery,talisman,"the monastery is where the talisman is guarded by a hammer-wielding, deformed monk"
talisman,monk,"the talisman is guarded by a hammer-wielding, deformed monk"
talisman,holy water,lifting the talisman from its pedestal causes the chamber to flood with holy water
eyeball,rayne,the eyeball becomes absorbed into rayne's own eye
eye,holy water,the absorption of the eye allows rayne to be unaffected by holy water
belial,body parts,the body parts came from an ancient vampire called Belial
kagan,body parts,kagan desires all these parts in order to assume Belial's powers
heart,talisman,the heart talisman is one of three body parts which came from an ancient vampire called Belial
rayne,heart talisman,rayne takes the heart talisman
katarin,heart talisman,the location of the heart talisman is known to katarin as her grandfather hid it in water-filled caves
rayne,katarin,rayne kills katarin and takes the heart talisman
rayne,talisman,Attempts to gain an audience before Kagan with but he takes the heart and throws her in the dungeon
talisman,rayne,Rayne had only given him an empty box and not the heart
kagan,he,Plans to extract the eye as part of a ritual
rayne,sebastian,"Battles Kagan and his minions, but both are fatally wounded, leaving Rayne in a final battle against Kagan"
vladimir,kagan,"Intervenes, battling Kagan and his minions, but both are fatally wounded, leaving Rayne in a final battle against Kagan"
sebastian,rayne,Chooses to die rather than let Rayne save him
kagan,rayne,"Final bolt from his crossbow, but Kagan is too quick and is able to catch it"
rayne,kagan,Summons her last reserves of strength and plunge the bolt into his heart
