node_1,node_2,edge
amitabh bachchan,brahmānsh,Raghu aka 'Guruji' is the guru and leader of Brahmānsh.
ranbir kapoor,shiva,"Shiva is the son of Amrita and Dev, and a newly recruited member of Brahmānsh who possesses the Agniastra."
nivaan gupta,baby shiva,baby Shiva is the younger version of Shiva.
alia bhatt,isha chatterjee,Isha Chatterjee is an NRI from London and Shiva's girlfriend.
mouni roy,junoon,Junoon is Dev's right-hand woman who wields the Kavachāstra and aims to revive the Brahmāstra and release Dev.
nagarjuna,anish shetty,"Anish Shetty is an artist, architect, archaeologist, and a member of the Brahmānsh who wielded the Nandi Āstra."
dimple kapadia,savitri devi,Savitri Devi is a member of Brahmānsh.
gurfateh pirzada,sher,Sher is a new recruit of Brahmānsh who wields the Nāg Dhanush.
stanzin delek,tensing,Tensing is a new recruit of Brahmānsh who wielded the Pawanāstra.
lehar khan,raveena,Raveena is a new recruit of Brahmānsh who wields the Gajāstra.
aditi joshi,rani,Rani is a new recruit of Brahmānsh who possesses Āyu Madrikā.
markand soni,santha,Santha is a new recruit of Brahmānsh and its tech guy who wields the Chakravathāstra (Dagger of Resurrection).
saurav gurjar,zor,Zor is a henchman of Junoon who stole the Nandi Āstra from Anish.
rouhallah gazi,raftaar,Raftaar is another henchman of Junoon who stole the Vanarāstra from Mohan.
chaitanya sharma,saqib ayub,Both Chaitanya Sharma and Saqib Ayub are portrayed as friends of Shiva.
rashi mal,rohan rustomji,Both Rashi Mal and Rohan Rustomji are depicted as cousins of Isha.
farida devi,shiva,Farida Devi is presented as the landlady of Shiva.
riyaaz makaney,isha's grandfather,Riyaaz Makaney plays the character of Isha's grandfather.
shah rukh khan,mohan bhargav,"Shah Rukh Khan appears in a special appearance as Mohan Bhargav, a renowned scientist and member of the Brahmānsh."
