node_1,node_2,edge
aitraaz,production details,HERE IS THE DETAILS OF MOVIE'S PRODUCTION: -----------------------------------------------------
abbas–mustan,kobe bryant,"They took inspiration from National Basketball Association player Kobe Bryant, who was accused of rape by a fan;[6]"
abbas–mustan,aitraaz,they began developing the film after reading about his sexual-assault case in the newspapers.[7]
title,aitraaz,The word aitraaz was colloquial and suited the subject.
production company,mukta arts,Produced by Subhash Ghai to commemorate the 25th anniversary of his production company Mukta Arts.
lead roles,"akshay kumar, kareena kapoor and priyanka chopra","According to the media reported that Akshay Kumar, Kareena Kapoor and Priyanka Chopra were cast in lead roles"
characters,raj and chopra's character,"Kumar was cast as Raj, a working man accused of rape at his workplace; Kapoor portrayed his supportive wife, who goes to extremes to defend him."
casting decision,akshay kumar,"Known for stylish thrillers and intriguing antagonists, cast Chopra in her first negative role. They wanted him to underplay his character."
sonia,former lover,seeks revenge by falsely accusing her former lover of raping her
sonia,husband,married to a business magnate more than twice her age
raj,sonia,"stands by [Raj] in his moment of distress and helplessness, like every Indian woman would."
raj,heroism associated with my character,does not fight for applause. He fights for his convictions.
chopra,first negative role,cast Chopra in her first negative role.
conservative upbringing,chopra,Chopra found it difficult to identify with her 'man-eater role' owing to her conservative upbringing.
extremely negative character,chopra,Playing an 'extremely negative character' proved a challenge for Chopra.
man-eater role,chopra,Chopra found it difficult to identify with her 'man-eater role'.
manish malhotra,costumes,Manish Malhotra designed the costumes.
vikram phadnis,costumes,Vikram Phadnis designed the costumes.
cape town,film,The film was mainly shot in Cape Town.
goa,film,"The film was mainly shot in Cape Town, Goa, Pune and Mumbai."
pune,film,"The film was mainly shot in Cape Town, Goa, Pune and Mumbai."
mumbai,film,"The film was mainly shot in Cape Town, Goa, Pune and Mumbai."
ravi yadav,cinematography,The cinematography was handled by Ravi Yadav.
