node_1,node_2,edge
king,true happiness,sets out on a journey to discover true happiness
king,holy stone,discovers true happiness and comes upon a holy stone in a forest occupied by Panjurli Daiva
panjurli daiva,king,"warns the king that his family and successors should keep their word and not reclaim the land, which will incur the wrath of Panjurli's companion, the ferocious demigod named Guliga Daiva"
descendant,bhoota kola performer,"asks a Bhoota Kola performer, who is possessed by Panjurli to make the locals hand over the land to him"
bhoota kola performer,descendant,"refuses and states that if the former goes to court for the decision of the land, then the Daiva will give his decision on the stairs of the court only"
court steps,king's successor,"dies mysteriously of heart attack, where he was going to argue the land case"
murali,villagers' land,is tasked with converting the villagers' land into a forest reserve
murali,shiva,disagreement over converting the villagers' land into a forest reserve
shiva,devendra suttooru,backed by his patron and the village's landlord
leela,devendra suttooru,appointed as a forest guard by his connections
murali,shiva's hideout,heads to with Devendra's henchman Sudhakara
shiva,leela,rift due to Shiva's involvement in the feud between Murali and himself and Leela following orders
murali,shiva's friends and companions,accidentally gets crushed by the trunk of a tree during search for Shiva and his friends and companions due to miscalculation
leela,shiva,reunites after the feud between Murali and himself and Leela following orders
shiva,police,"arrest avoidance, caught by police and forest guards"
shiva,devendra,"ulterior motive, bribery attempt, enmity"
shiva,panjurli's stone,"near-death experience, possession by spirit"
shiva,guliga daiva,"Shiva possesses the power of Guliga Daiva, which allows him to brutally kill Devendra and his henchmen."
shiva,panjurli,"During the Bhoota Kola, Shiva is possessed by Panjurli."
shiva,murali,"In the symbolic gesture, Shiva and Murali join hands."
shiva,spirit of his father,"Before disappearing into the forest, Shiva meets what seems to be the spirit of his father."
