node_1,node_2,edge
newton kumar,election duty,"rookie government clerk on reserve is sent on election duty to a Naxal-controlled town in the insurgency-ridden jungles of Chhattisgarh, India"
central reserve police force (crpf),nutan kumar,war-weary Central Reserve Police Force (CRPF) security forces
voters,nutan kumar,faced with the apathy of the war-weary Central Reserve Police Force (CRPF) security forces
newton kumar,voters,when one of the main duty officers there is found to be facing heart problems
communist insurgents,nutan kumar,looming fear of guerrilla attacks by communist insurgents
newton kumar,communist insurgents,faced with the looming fear of guerrilla attacks by communist insurgents
villagers,newton kumar,"when one of the villagers enters the polling booth, he is bewildered by the voting machine and does not understand how to operate it"
newton kumar,villagers,"after talking to the villagers, Newton soon realizes that they have no idea what the election is about"
villagers,aatma singh,"when a foreign reporter turns up at the polling station, the CRPF force the villagers from the constituency to turn up to cast their votes"
newton kumar,villagers,"Some thought they would earn money from this, while others asked hopelessly about getting paid sufficiently for their work"
symbols,voters,"elephants, cycles, uneducated, press any symbol they like"
newton,polling booth,"stipulated time, Naxal ambush, CRPF, forced to flee, collect votes, Aatma Singh"
aatma singh,newton,"reluctant, holds at gunpoint, officer at gunpoint, forcibly taken back to safety"
villagers,aatma singh,"four villagers, deep inside the forest, securement, more landmines than men, reluctance, comments out of frustration"
newton,malko,"discussion between the local election officer Malko and Newton, who is still recovering from the beating by CRPF troops. Newton updates Malko on the events that happened after she left as she was unaware."
newton,crpf troops,"Newton keeps them at gunpoint even after the voting for the remaining two minutes of his official duty (till 3 pm), due to their inability to supply troops with night vision goggles that they have been requesting for 2 years."
newton,government,Newton conveys his concerns to Newton about the government's inability to supply troops with night vision goggles that they have been requesting for 2 years.
newton,aatma singh,"Newton is shown shopping in civilian dress with his wife and daughter during holidays, implying a contrast between his personal life and the harsh conditions he faced while dealing with Naxal-affected areas."
mining activity,area,"A shot of the area six months later shows mining activity going on, implying possible exploitation of resources by outsiders."
