node_1,node_2,edge
akshay kumar,raju,Akshay Kumar plays the character Raju in the movie
suniel shetty,shyam,Suniel Shetty plays the character Shyam in the movie
paresh rawal,baburao ganpatrao apte,Paresh Rawal plays the character Baburao Ganpatrao Apte in the movie
bipasha basu,anuradha munjal,Bipasha Basu plays the character Anuradha Munjal in the movie
rimi sen,anjali,Rimi Sen plays the character Anjali in the movie
sharat saxena,tiwari seth,Sharat Saxena plays the character Tiwari Seth in the movie
johnny lever,munna bhai,Johnny Lever plays the character Munna Bhai in the movie
rajpal yadav,pappu,Rajpal Yadav plays the character Pappu (Anjali's brother) in the movie
manoj joshi,kachra seth,Manoj Joshi plays the character Kachra Seth in the movie
milind gunaji,nanji bhai,Milind Gunaji plays the character Nanji Bhai in the archive footage from Hera Pheri
razak khan,chhota chetan,Razak Khan plays the character Chhota Chetan (Kabira's sidekick) in the movie
ravi kishan,chhote,Ravi Kishan plays the character Chhote (Tiwari's sidekick) in the movie
suresh menon,peter,Suresh Menon plays the character Peter (Nanji Bhai's most trusted sidekick and Munna Bhai's secret informer) in the movie
dinesh hingoo,parsi gun collector,Dinesh Hingoo plays the character Parsi gun collector in the movie
tiku talsania,police officer (special appearance),Tiku Talsania appears as a Police Officer in the special appearance in the movie
javed khan amrohi,a khetwadi police chowki constable (archive footage from hera pheri),Javed Khan Amrohi appears as a Khetwadi Police Chowki constable in the archive footage from Hera Pheri
gulshan grover,kabira,Gulshan Grover plays the character Kabira (archive footage from Hera Pheri)
kashmira shah,kabira's gang member and anuradha's sister (archive footage from hera pheri),Kashmira Shah appears as Kabira's gang member and Anuradha's sister in the archive footage from Hera Pheri
sunil pal,kishan,Sunil Pal plays the character Kishan in the movie
