node_1,node_2,edge
gene,mel,"Parents of Gene, Mel and Mary are two meh emojis."
gene,mary,"Parents of Gene, Mel and Mary are two meh emojis."
gene,alex,Gene is the emoji selected by Alex to send as a text message.
smiler,gene,"Upon receiving a text from his love interest Addie McCallister, Alex decides to send her an emoji. Gene is selected, who unintentionally makes a panicked expression and wrecks the text center."
smiler,gene,Smiler concludes that Gene is a 'malfunction' and therefore must be deleted.
hi-5,gene,Hi-5 rescues Gene from bots sent by Smiler.
smiler,gene,"Smiler sends more bots to look for Gene when she finds out that he has left Textopolis, as his actions have caused Alex to think that his phone needs to be fixed."
jailbreak,gene,The hacker emoji Jailbreak wants to reach Dropbox so that she can live in the cloud. Gene and Hi-5 come across her during their adventure.
jailbreak,gene,Jailbreak reveals that Gene can be fixed in the cloud.
candy crush,jailbreak,escapes into the game Candy Crush and Jailbreak reveals being a princess emoji who fled home
just dance app,gene,go off into the Just Dance app with Gene
just dance app,jailbreak,escapes from being stereotyped in the Just Dance app as Jailbreak is revealed to be a princess emoji
bots,gene and jailbreak,"are attacked by bots, and their actions cause Alex to delete the Just Dance app"
instagram app,mel,Mel reveals being a malfunction explaining Gene's behavior while traveling through Spotify
spotify,jailbreak,admits liking Gene just the way he is and that he should not be ashamed of his malfunction while traveling through Spotify
trash,hi-5,is taken along with the app and ends up in the trash while trying to rescue Gene and Jailbreak
instagram app,mel and mary,go searching for their son and have a very lethargic argument in the Instagram app
cloud,jailbreak,"prepares to reprogram Gene while they are in Dropbox, but Gene admits his feelings for Jailbreak and reverts to his apathetic programming out of heartbreak"
cloud,gene,is captured by an upgraded bot sneaking into the cloud
gene,smiler,enemy relationship due to Smiler's threat to delete Gene
mel,smiler,enemy relationship due to Smiler's threat to delete Mel
gene,addie (through alex),"relation between Gene and Addie, established through text message"
alex,addie,communication relationship between Alex and Addie through text message
smiler,loser lounge,"location relationship, where Smiler is sent due to her crimes"
