node_1,node_2,edge
oil deposit,little boston,Daniel Plainview discovers oil in Little Boston.
daniel plainview,h.w.,"Daniel adopts H.W., an orphaned son, and makes him his partner."
daniel plainview,little boston,Daniel visits the Sundays' property in Little Boston to investigate an oil deposit.
paul sunday,eli sunday,Paul Sunday and his identical twin brother Eli are both approached by Daniel Plainview regarding an oil deposit on their property.
daniel plainview,eli sunday,"Daniel attempts to purchase the Sundays' property at a bargain price, but his motives are questioned by Eli, who knows the land has oil."
daniel plainview,church,"In exchange for the property, Daniel demands $10,000 from Eli for his church."
daniel plainview,william bandy,"Daniel acquires all the available land in and around the Sunday property, save for one holdout, William Bandy."
eli sunday,dinner table,"At the dinner table, Eli publicly demands the money still owed to him by Daniel Plainview."
daniel plainview,eli sunday,"After Daniel reneges on an agreement to let Eli bless the well before drilling begins, a series of misfortunes occur: an accident kills one worker and a gas blowout deafens H.W. And destroys the drilling infrastructure."
daniel plainview,eli sunday,"When Eli publicly demands the money still owed to him, Daniel beats him."
eli sunday,father,"At the dinner table that night, Eli attacks and berates his father for having trusted Daniel Plainview."
daniel,money still owed,Daniel has not yet paid back the amount he is indebted to.
daniel,eli,"Eli attacks and berates Daniel for having trusted Daniel's enemy, which causes conflict between them."
henry,daniel,Daniel becomes suspicious of Henry after he fails to recognize a joke and confronts him one night at gunpoint.
henry (imposter),real henry,"The impostor claims to be the real Henry, who died of tuberculosis, and confesses that he had impersonated Henry in the hope that Daniel could give him a job."
daniel,pipeline,"Standard Oil offers to buy out Daniel's local interests, but Daniel refuses and instead strikes a deal with Union Oil to build a pipeline."
bandy,daniel,Bandy remains an impediment for Daniel's plan as he refuses to let the pipeline run across his ranch.
eli,daniel,Eli coerces Daniel into confessing that he abandoned his child during his baptism in Eli's church as a condition for an easement to run the pipeline across Bandy's ranch.
h.w.,daniel,H.W. asks his father Daniel to dissolve their partnership so that he can move to Mexico with his wife Paul.
eli's sister mary,h.w.,"H.W. marries Mary, Eli's sister."
daniel,alcoholism,Daniel becomes an alcoholic due to the financial and emotional stress he faces.
wealthy but an alcoholic,daniel,Daniel is a wealthy but an alcoholic person.
lives alone in a large mansion,daniel,Daniel lives alone in a large mansion.
h.w.,daniel,Daniel is the father of H.W.
mary,h.w.,Mary is the person that H.W. wants to move to Mexico with.
great depression,little boston,Little Boston suffers from the Great Depression.
bandy's property,daniel,Daniel drained Bandy's property of oil by capture.
eli,h.w.,Eli visits a drunken Daniel in the bowling alley of his mansion.
radio preacher,eli,Eli is now a radio preacher.
daniel,eli,Daniel partners with Eli in drilling Bandy's property on the condition that Eli denounce his faith.
butler,daniel,Daniel's butler appears to ask about the commotion in the bowling alley of his mansion.
daniel,eli,"After Daniel chases Eli around the alley and bludgeons him to death with a bowling pin, Daniel announces, ""I'm finished"""
