node_1,node_2,edge
sameer malhotra,roma,Sameer's girlfriend Roma breaks up with him because of his temper.
sameer malhotra,anger-management issues,Sameer has anger-management issues since his parents died during his childhood.
sameer malhotra,rani,Sameer falls in love with Rani.
sameer malhotra,pandit raj purohit jyotshi,"Sameer disagrees with Pandit Raj Purohit Jyotshi, which angers Rani when she overhears him saying bad things about her."
suraj,sameer malhotra,Suraj makes Sameer think that he is a thief by asking him where he keeps important things (like money) in his luggage.
suraj,security guard,Suraj is a security guard at Sameer's resort.
trouble,sunny,arrives in the form of Sunny
sameer,rani,"anonymously gives Rani the money she needs for a fashion competition, calling himself her 'well-wisher'"
sameer,grandmother,gave Rani the money he had saved for his grandmother's eye surgery
sameer,sister,gave Rani the money he had saved for his sister's wedding
sunny,rani,takes credit for a painting of Rani by Sameer
sameer,rani,assumes that they had sex when Rani sees a bar dancer sleeping in Sameer's room one morning
sameer,eagle gang,"is now the leader of the Eagle Gang, a group of bikers who roam the streets of Goa and cause trouble"
rani,sameer,reconciles with the help of a magician at a New Year's Eve party
sameer,rani's mother,Pushespara mistakes Rani's mother for Rani and tries to persuade her to marry Sameer.
sameer,rani,Sameer makes another attempt to apologize and tries to reunite with Rani
suraj,sameer,Suraj is Rani's uncle who now knows that Sameer loves Rani.
sunny,sameer,Sunny gets close to Rani because of Sameer's mistakes
rani,sunny,Rani considers whether she loves Sameer or Sunny more
sameer,india and pakistan,Sameer chases Sunny through the crowd at a cricket stadium where India and Pakistan are playing a friendly match.
kapil dev,sameer,Sameer takes the microphone from the guest of honour Kapil Dev
rani,sameer,"Rani runs onto the field and embraces Sameer, reuniting with him"
arun,sameer,Arun poses as Sameer's enemy to help him reunite with Rani and her parents
pushpa,arun,Pushpa tells Arun about Sameer's heartbreak and departure for Goa
