node_1,node_2,edge
souls,dominant species,parasitic aliens called 'Souls' travel to planets and insert themselves into the body of the dominant species while suppressing their consciousness
souls,earth,have taken over Earth and are almost successfully conquered
human race,violent,Small parasitic aliens called 'Souls' have taken over the human race because they deem humans too violent to deserve the planet
souls,host's consciousness,"The original owner's consciousness is erased, but the Souls can access the host's memories"
silver rings in their eyes,occupied hosts,Identifiable by silver rings in their eyes
melanie stryder,small parasitic aliens called 'souls',"Captured and infused with a Soul called 'Wanderer', whom a 'Seeker' soul has asked to access Melanie's memories and learn the location of a pocket of unassimilated humans"
melanie stryder,consciousness,"However, Melanie’s consciousness has not been completely eliminated; she and Wanderer carry out an internal conversation and debate with each other, eventually becoming friends"
wanderer,seeker soul,"Tells Seeker that Melanie was traveling with her brother, Jamie, and her boyfriend, Jared Howe, to find Melanie’s uncle Jeb in the desert"
melanie stryder,uncle jeb,"Wanderer admits that Melanie was traveling with her brother, Jamie, and her boyfriend, Jared Howe, to find Melanie’s uncle Jeb in the desert"
caves inside a mountain,humans,Jeb finds Wanderer and takes her to a series of caves inside a mountain where the humans (including Jared and Jamie) are hiding
wanderer,jeb,Jeb accepts Wanderer's presence and gains her trust
wanderer,ian o'shea,Slowly starts gaining their trust and bonds with Ian O'Shea
melanie,wanderer,"Instructs Wanderer not to tell anyone she is still alive, since it would provoke them, though she later allows her to tell Jamie"
jared,wanderer,Jared and Kyle move to kill Wanderer
melanie,jeb,"Compelled to love Jared, but she has feelings of her own"
kyle,wanderer,Endangers his own life and Wanderer saves him
ian o'shea,kyle,Believes that Kyle attacked Wanderer and tells her he has feelings for her
wanderer,melanie's consciousness,Jamie reveals that Melanie's consciousness is alive
seeker,supply team,Intercepts one of the shelter's supply teams
aaron and brandt,capture,Commits suicide to avoid capture
seeker,another soul,"Accidentally kills another Soul, leading her superiors to call off the search"
wanderer,doc,"Doc has been experimenting with ways to remove Souls and allow the host's mind to regain control, resulting in the deaths of many Souls and hosts. After isolating herself for several days, Wanderer learns about Doc's experiments."
doc,seeker,"Jeb captures Seeker, but Wanderer offers to show Doc how to properly remove Souls on the condition that he later removes her from Melanie's body."
seeker,soul medical facility,"Wanderer infiltrates a Soul medical facility to steal some alien medicine, saving Jamie's life."
jamie,alien medicine,Wanderer learns that Jamie is critically ill with an infection in his leg and saves his life by stealing alien medicine from a Soul medical facility.
doc,seeker,"Doc uses the technique to remove Seeker from her host, with both host and Soul surviving."
seeker,soul space-travel site,"Wanderer takes Seeker’s tiny alien form to a Soul space-travel site, where she sends it so far from Earth that it can not return for numerous generations."
melanie,brain-dead human body,"Now with a body of her own, Wanderer is able to be with Ian, while Melanie reunites with Jared."
wanderer,doc,"Tired of the many lives she’s lived and finding it too painful to leave everyone behind, Wanderer makes Doc promise to let her die when she is removed and not tell anyone."
wanderer,humans,"While on a supply run, Wanderer and her group were captured by humans. This reveals that there are other human groups as well."
soul with this group,humans,"The humans reveal that a Soul with this group has sided with the human resistance, implying that there are other Souls who may do the same."
wanderer,soul with this group,The fact that both Wanderer and a Soul with this group have sided with the human resistance suggests that there may be more Souls who will do so.
humans,soul with this group,The humans' revelation about a Soul with their group siding with the human resistance highlights the presence of other Souls who may do the same.
