node_1,node_2,edge
sohum shah,vinayak rao,Sohum Shah portrays the character of Vinayak Rao in this movie.
dhundiraj prabhakar jogalekar,young vinayak,Dhundiraj Prabhakar Jogalekar plays the role of young Vinayak in this movie.
jyoti malshe,vinayak's mother,Jyoti Malshe portrays the character of Vinayak's mother in this movie.
anita date-kelkar,vaidehi rao,"Anita Date-Kelkar acts as Vaidehi Rao, who is Vinayak's wife and Pandurang's mother in this movie."
ronjini chakraborty,vinayak's mistress,Ronjini Chakraborty portrays the character of Vinayak's mistress in this movie.
deepak damle,raghav,Deepak Damle plays the role of Raghav in this movie.
mohammad samad,pandurang,"Mohammad Samad portrays the character of Pandurang, who is Vinayak's son in this movie."
samad,sarkar's great-grandmother,Mohammad Samad also portrays Sarkar's great-grandmother in this movie.
rudra soni,sadashiv,Rudra Soni acts as Sadashiv in this movie.
madhav hari joshi,sarkar,Madhav Hari Joshi portrays the character of Sarkar in this movie.
cameron anderson,sergeant cooper,Cameron Anderson acts as Sergeant Cooper in this movie.
