node_1,node_2,edge
aankhiyan teriya ve,salim–sulaiman,The album 'KaalSoundtrack' by Salim–Sulaiman includes a song titled 'Aankhiyan Teriya Ve.'
salim–sulaiman,anand raj anand,The album 'KaalSoundtrack' by Salim–Sulaiman and Anand Raj Anand has collaborated on certain songs.
salim–sulaiman,shabbir ahmed,The album 'KaalSoundtrack' by Salim–Sulaiman features songs written by Shabbir Ahmed.
aankhiyan teriya ve,kailash kher,The song 'Aankhiyan Teriya Ve' in the album 'KaalSoundtrack' has been sung by Kailash Kher and Caralisa Monteiro.
salim–sulaiman,sony music india,The album 'KaalSoundtrack' by Salim–Sulaiman has been released under the label Sony Music India.
aankhiyan teriya ve,caralisa monteiro,The song 'Aankhiyan Teriya Ve' in the album 'KaalSoundtrack' has been sung by Kailash Kher and Caralisa Monteiro.
salim–sulaiman,anand raj anand,The album 'KaalSoundtrack' by Salim–Sulaiman and Anand Raj Anand has collaborated on certain songs.
salim–sulaiman,shankar mahadevan,"The album 'KaalSoundtrack' by Salim–Sulaiman features a song titled 'Dharma Mix (Medley of Superhits Songs from Kuch Kuch Hota Hai - 1998, Kabhi Khushi Kabhie Gham... - 2001 & Kal Ho Naa Ho - 2003)' that includes vocals by Shankar Mahadevan and other artists."
aankhiyan teriya ve,salim merchant,"The song 'Aankhiyan Teriya Ve' in the album 'KaalSoundtrack' has been sung by Kailash Kher, Caralisa Monteiro and Salim Merchant."
salim–sulaiman,shabbir ahmed,The album 'KaalSoundtrack' by Salim–Sulaiman features songs written by Shabbir Ahmed.
salim–sulaiman,ravi khote,"The album 'KaalSoundtrack' by Salim–Sulaiman features vocals by Ravi Khote in songs like 'Jungle Mix', 'Nassa Nassa' and 'Tauba Tauba'."
salim–sulaiman,anand raj anand,The album 'KaalSoundtrack' by Salim–Sulaiman and Anand Raj Anand have collaborated on certain songs.
salim–sulaiman,sonu nigam,"The album 'KaalSoundtrack' by Salim–Sulaiman features vocals by Sonu Nigam in songs like 'Tauba Tauba', 'Nassa Nassa' and 'Jungle Mix'."
salim–sulaiman,richa sharma,The album 'KaalSoundtrack' by Salim–Sulaiman features vocals by Richa Sharma in the song 'Tauba Tauba'.
salim–sulaiman,sunidhi chauhan,The album 'KaalSoundtrack' by Salim–Sulaiman features vocals by Sunidhi Chauhan in songs like 'Jungle Mix' and 'Nassa Nassa'.
salim–sulaiman,kabir singh,The album 'KaalSoundtrack' by Salim–Sulaiman is not related to the movie 'Kabir Singh'.
