node_1,node_2,edge
patrizio 'pat' solitano jr.,bipolar disorder,Pat was diagnosed with bipolar disorder and spent eight months in a mental health facility to treat it.
patrizio 'pat' solitano jr.,nikki,"Pat was married to Nikki, but their relationship ended due to Pat's violent outbursts. Nikki obtained a restraining order against him."
patrizio 'pat' solitano jr.,reconciliation,Pat's primary focus is to reconcile with Nikki after their relationship ended due to his violent outbursts.
patrizio 'pat' solitano jr.,anxiety attacks,Pat experiences a series of anxiety attacks.
cliff patel,medication,Cliff tries to convince Pat to keep taking his medication because a repeat of his violent outbursts might send him back to the clinic.
patrizio 'pat' solitano jr.,pat's therapist,Pat's primary therapist is Cliff Patel.
patrizio 'pat' solitano jr.,new outlook on life,"Pat attempts to see the good, or silver linings, in all that he experiences as part of his new outlook on life."
ronnie's sister-in-law,tiffany maxwell,"Pat connects with Tiffany, a widow with an unnamed disorder, at a dinner party."
tiffany maxwell,casual sex,"Tiffany tries to offer Pat casual sex, but he is focused on getting Nikki back."
tiffany maxwell,dance competition,Tiffany offers to partner with Pat in an upcoming dance competition if he delivers a letter for her.
tiffany,pat,"relationship between Tiffany and Pat, who start practicing together in hopes of reconciling their relationship. Pat also asks Tiffany for time off from practice to attend a football game at his father's request."
nikki,tiffany,"relationship between Nikki and Tiffany, as hinted in a typed reply from Nikki to Pat regarding their possible reconciliation."
patrizio sr.,pat,"relationship between Patrizio Sr. And Pat, as Pat attends a football game at his father's request and Patrizio becomes angry when he blames Tiffany's involvement in Pat's life for the Philadelphia Eagles losing."
eagles,tiffany,"relationship between the Philadelphia Eagles and Tiffany, as she refutes her father-in-law's allegations that the team lost because of her newfound involvement in Pat's life."
parlay,patrizio sr.,"relationship between a parlay and Patrizio Sr., as he makes one with his friend Randy regarding the Eagles winning their week 16 game against the Dallas Cowboys and Tiffany and Pat scoring five out of ten in their dance competition."
letter,nikki,"relationship between a letter and Nikki, as the letter from Nikki includes the phrase 'If it's me reading'."
pat,nikki,"Tiffany tells Pat that Nikki will be at the competition, leading to Pat realizing Tiffany fabricated a letter from Nikki. Nikki is invited by Ronnie and his wife Veronica to attend the competition, as they want Nikki to lift her restraining order on Pat, giving them the chance to reconcile."
tiffany,nikki,"Tiffany despairs when she sees Nikki in the audience at the competition. Nikki is invited by Ronnie and his wife Veronica to attend the competition, as they want Nikki to lift her restraining order on Pat, giving them the chance to reconcile."
pat,tiffany,Pat finds Tiffany moments before their turn at the competition and drags her onto the dance floor. Pat and Tiffany begin their routine as the Eagles defeat the Cowboys.
pat sr.,pat,"Pat Sr. Tells his son Pat that unlike Nikki, Tiffany really loves him, and he should not let her go, as it would haunt him for the rest of his life."
tiffany,pat sr.,"Pat Sr. Tells his son Pat that unlike Nikki, Tiffany really loves him, and he should not let her go, as it would haunt him for the rest of his life."
pat,tiffany,"Pat catches Tiffany and hands her a letter in which he admits to knowing she forged the letter earlier. Pat confesses that he loved her from the moment they became acquainted, but that it took him a long time to realize and accept it."
tiffany,pat,Tiffany and Pat share a kiss.
patrizio,pat,"Pat opens a restaurant with the money he has won, and Pat and Tiffany begin a relationship, no longer wearing their wedding rings."
