node_1,node_2,edge
max rockatansky,immortan joe's war boys,Max is captured by Immortan Joe's War Boys.
max rockatansky,nux,Max is forced to transfuse his blood to Nux.
furiosa,bullet farmer,Furiosa trades produce and water for petrol and ammunition with the Bullet Farmer.
furiosa,people eater,Furiosa trades produce and water for petrol and ammunition with the People Eater.
joe's army,allies,Joe calls on his allies to help in pursuit of Furiosa.
max rockatansky,nux's car,Max is strapped to Nux's car during the chase.
furiosa,rival gang,Furiosa fends off a rival gang in enemy territory.
nux,explosion,Nux attempts to sacrifice himself to blow up the Rig.
max rockatansky,nux,Max restrains Nux and frees himself during the chase.
max,furiosa,"fights and subdues Furiosa, but her engine kill switch prevents him from stealing the Rig."
nux,"furiosa's group: toast, capable, the dag, cheedo, and angharad",joins after attempting to kill Furiosa
nux,joe's army,"rejoins after being thrown out by Joe's wives: Toast, Capable, the Dag, Cheedo, and Angharad"
furiosa,biker gang,drives through a canyon controlled by
bikers,furiosa,turn on her when they spot Joe's army approaching
capable,nux,consoles after failing to carjack the Rig for Joe
bullet farmer,furiosa and max,continues pursuit in his ATV after they get stuck in the mud
bullet farmer,furiosa and max,blinds and disables his ATV with their help
green place,watchtower,"Furiosa spots a Green Place watchtower and identifies herself to the watchwoman, who summons their matriarchal clan, the Vuvalini."
green place,vuvalini,"The Vuvalini recognise Furiosa as one of their own, but inform a devastated Furiosa that the Green Place was the now-uninhabitable swamp from the previous night, and that there are only seven Vuvalini left."
green place,salt flat,"The group decides to ride across an immense salt flat, hoping to find a new home on the other side."
vuvalini,toast,"Five Vuvalini are killed in the battle with Joe, and Toast is captured."
max,child,"[14][15] Max catches up with the group and convinces them to return to the Citadel, since they do not know what lies beyond the salt flat but do know that the now-undefended Citadel has ample water and crops."
max,rictus,"Max fights Joe's son and enforcer, Rictus."
furiosa,joe's truck,Furiosa boards Joe's truck to rescue Toast.
nux,rig,"Nux sacrifices himself by wrecking the Rig to block the canyon behind them, killing Rictus."
furiosa,joe,"Furiosa boards Joe's truck to rescue Toast, who distracts Joe, allowing Furiosa to kill him."
max,furiosa,"Max transfuses his blood to Furiosa, saving her life."
citadel,rejoice,The people at the Citadel rejoice upon learning of Joe's death.
joe,death,Joe dies in this context.
max,disappears into the crowd,"As Max's companions are lifted to Joe's cliffside fortress, Max disappears into the crowd."
furiosa,exchanges a glance with max,Max exchanges a glance with Furiosa before disappearing into the crowd.
