node_1,node_2,edge
lenny feder,stanton,"Lenny moved his family to Stanton, where his friends Eric Lamonsoff, Kurt McKenzie, and Marcus Higgins live."
deer,mr. gigglesworth (stuffed animal),The deer tore Mr. Gigglesworth apart after it wreaked havoc through Lenny's house.
roxanne feder,lenny feder,Lenny dismissed Roxanne's suggestion that they have another child.
eric lamonsoff,sally,Eric worried that Sally was encouraging their children's self-confidence above all else.
deanne,kurt mckenzie,"Kurt gave Deanne a gift for their anniversary, which she had forgotten."
braden,marcus higgins,"Marcus was intimidated by Braden, who deeply hated him."
nick,school bus,Lenny commandeered his children's school bus from Nick.
rob hillard,tommy cavanaugh,"Lenny's childhood bully, Tommy Cavanaugh."
k-mart,lenny feder,The friends visited K-Mart with Lenny.
ballet recital,mcdonough elementary,Police officers Fluzoo and Dante escorted the friends to Becky's ballet recital at McDonough Elementary.
abandoned quarry,college party,"The brothers Andre and Greg accompany Braden to an abandoned quarry, where they join a college party."
college fraternity,lenny and his friends,"Confronted by a hostile college fraternity led by Milo and Andy, who force them to jump in naked from the highest point. The frat boys blame Lenny and his friends and swear revenge."
kurt,charlotte,Kurt's daughter Charlotte agrees to go on a date.
lenny,keith,Lenny's younger son Keith struggles with his own bully Duffy.
marcus,van,"The friends take Marcus' van, vandalized by Braden, to Eric's auto body shop,"
lenny,keith,"After humiliating their old rival Dickie at the Ice Cream House, Lenny, Eric, Kurt, and Marcus visit the same quarry, where they swam during their youth."
eric,sally,Eric apologizes to Sally for avoiding her to spend time with his mother.
kyle,roxanne,"Lenny becomes suspicious of Kyle's relationship with Roxanne,"
penny,lenny,Penny's lifelong obsession with Lenny angers Roxanne.
braden,construction tire,Marcus accidentally rolls through town in a giant runaway construction tire.
andre,driving test,"Andre passes his driving test overseen by Wiley,"
nancy arbuckle,greg,"Greg succeeds in asking out Nancy Arbuckle, a girl he has a crush on."
lenny,roxanne,relationship: Lenny tells Roxanne that she is pregnant.
lenny,kyle,"relationship: Lenny does not have an affair with Kyle, who has repaired Becky's stuffed animal."
lenny,tommy,relationship: Lenny challenges Tommy to a fight.
tommy,becky's son,relationship: Becky's son is being bullied.
tommy,lenny,relationship: Tommy takes a dive to allow Lenny to look tough in front of his bullied son.
braden,fraternity members,relationship: Braden admits to being the culprit of frat house vandalism.
fraternity members,townsfolk,relationship: Fraternity members insult the townsfolk.
townsfolk,fraternity members,relationship: A massive brawl breaks out between them.
andy,deer,"relationship: Andy gets attacked by the deer, thanks to Becky's tactic with her stuffed animal."
eric's mother,lenny,relationship: Eric's mother reassures Lenny about his new baby.
lenny,roxanne,"relationship: Lenny and Roxanne reconcile, looking forward to their growing family."
