node_1,node_2,edge
poonam,babita,conwomen posing as Maharani Padmavati and Rajkumari Chandni
uday shetty,poonam,financed by Uday Shetty due to attraction of Babita
majnu pandey,poonam,financed by Majnu Pandey due to attraction of Babita
ranjana,shankar shetty,sister from Shankar Shetty's third marriage
majnu pandey,ranjana,emotionally blackmailed by Shankar into arranging the marriage of Ranjana
uday shetty,majnu pandey,emotionally blackmailed by Shankar into arranging the marriage of Ranjana
ajju,doctor ghunguroo,step son of Doctor Ghunguroo's wife's previous marriage
majnu,ranjana,"arrange the marriage of Ranjana with the step-son of Doctor Ghunguroo, not knowing that he is a goon"
majnu,ranjana,"reveal the truth, causing Ajju to retaliate with a fight"
ajju,wanted bhai's son honey,"Honey tries to marry Ranjana without the brothers' consent, causing Ajju to retaliate with a fight. Wanted Bhai supports his son and they are both in league with Babita and Poonam against the brothers."
uday,majnu,"The brothers visit Wanted Bhai, who is an infamous blind don, expecting to keep Ajju at bay. However, they also return to their old, violent ways in order to kill Ajju."
ranjana,decent man for marriage,"The brothers decide to arrange the marriage of Ranjana to some other decent man, in order to sidestep Ajju as well as Wanted Bhai's son."
ajju,dr. ghunguroo,Ajju and Dr. Ghunguroo are in league against the brothers and try to convince Honey that he no longer loves Ranjana and that Babita is his true love.
dr. ghunguroo,ghost act,Dr. Ghunguroo plans a ghost act to scare Uday and Majnu and tries to finish them off along with Ajju.
cctv camera,activities of the brothers,"Their activities have been recorded by CCTV camera, causing Wanted Bhai and Honey to plan to finish them off."
camels,chased by wanted bhai,A group of camels heavily march there. The brothers escape towards the desert where they are chased by Wanted Bhai.
wanted bhai,gratitude,"As a form of gratitude, Wanted Bhai himself decides to save Honey from the stampede of camels and restoring his sight."
wanted bhai,ranjana,"decides to arrange the marriage of Ajju with as a form of gratitude, calling Ajju his 'second son'"
sandstorm,conjuring up,making everyone run for their lives
