node_1,node_2,edge
kapoor & sons (since 1921),soundtrack album,The movie Kapoor & Sons (Since 1921) has a soundtrack album titled 'Kapoor & Sons (Since 1921)Soundtrack album'.
amaal mallik,composer,The composer of some songs in the 'Kapoor & Sons (Since 1921)Soundtrack album' is Amaal Mallik.
badshah,composer,The composer of some songs in the 'Kapoor & Sons (Since 1921)Soundtrack album' is Badshah.
arko,composer,The composer of some songs in the 'Kapoor & Sons (Since 1921)Soundtrack album' is Arko.
tanishk bagchi,composer,The composer of some songs in the 'Kapoor & Sons (Since 1921)Soundtrack album' is Tanishk Bagchi.
benny dayal,singer,The singer of some songs in the 'Kapoor & Sons (Since 1921)Soundtrack album' is Benny Dayal.
badshah,singer,The singer of some songs in the 'Kapoor & Sons (Since 1921)Soundtrack album' is Badshah.
bolna,song,A song from the 'Kapoor & Sons (Since 1921)Soundtrack album' is 'Bolna'.
kar gayi chull,song,A song from the 'Kapoor & Sons (Since 1921)Soundtrack album' is 'Kar Gayi Chull'.
sony music india,label,The label that released the 'Kapoor & Sons (Since 1921)Soundtrack album' is Sony Music India.
manoj muntashir,lyricist,One of the lyricists for some songs in the 'Kapoor & Sons (Since 1921)Soundtrack album' is Manoj Muntashir.
dr. devendra kafir,lyricist,One of the lyricists for some songs in the 'Kapoor & Sons (Since 1921)Soundtrack album' is Dr. Devendra Kafir.
abhiruchi chand,lyricist,One of the lyricists for some songs in the 'Kapoor & Sons (Since 1921)Soundtrack album' is Abhiruchi Chand.
sameer uddin,background score composer,The composer of the background score in the movie Kapoor & Sons (Since 1921) is Sameer Uddin.
"march 4, 2016",release date,"The 'Kapoor & Sons (Since 1921)Soundtrack album' was released on March 4, 2016."
genrefeature film soundtrack,genre,The 'Kapoor & Sons (Since 1921)Soundtrack album' is a feature film soundtrack.
sony music india won best background score,award,Sony Music India won the 'Best Background Score' award for Kapoor & Sons (Since 1921) at the 62nd Filmfare Awards.
mumbai,location,The movie 'Kapoor & Sons (Since 1921)' is set in Mumbai.
bolna,sooraj dooba,Similarity noted by Surabhi Redkar of Koimoi in her review.
bolna,fawad khan,"Inclusion in the album due to Fawad Khan's presence, as noted by some critics."
saathi re,forgettable songs,Classification by Swetha Ramakrishna of Firstpost in her review.
kar gayi chull,bolna,"Both songs are popular tracks from the album 'Fukrey Returns' by Badshah. While 'Kar Gayi Chull' is a party anthem, 'Bolna' is a romantic ballad featuring Dr. Devender Kafir and Arijit Singh on vocals."
kar gayi chull,buddhu sa mann,"In 'Fukrey Returns', 'Kar Gayi Chull' and 'Buddhu Sa Mann' are back-to-back tracks, both sung by Badshah."
saathi rey,let's nacho,"Manoj Muntashir has penned the lyrics for both 'Saathi Rey' and 'Let's Nacho', both of which feature vocals by Badshah and Benny Dayal."
