node_1,node_2,edge
sara matthews,emily (deceased sister),"Sara's older sister, Emily, died when Sara was nine."
sara matthews,jason (ex-boyfriend),"Sara's ex-boyfriend, Jason, keeps calling her in attempts to reconcile."
rebecca,sara matthews,Rebecca and Sara Matthews begin to bond.
tracy,sara matthews,Sara meets party girl Tracy.
stephen,sara matthews,Frat boy Stephen is Sara's love interest.
rebecca,tracy,Rebecca attacks Tracy in the shower.
rebecca,sara matthews,Rebecca's obsession with Sara grows.
irene,sara matthews,An old friend of Sara's named Irene invites Sara to move in with her when Sara's cat Cuddles is discovered by an RA.
rebecca,cuddles (cat),"Rebecca kills Cuddles, lying to Sara that the cat ran away."
rebecca,roberts (fashion design professor),"Feeling sympathetic, Sara decides to spend Thanksgiving with Rebecca. When Sara's fashion design professor, Roberts, kisses her, Rebecca plans to get the professor out of the picture by seducing him while recording their dialogue on a tape recorder to make it sound like he was trying to rape her."
sara,rebecca,"obsessed with, seduction attempt, tattooed same place on breast"
irene,rebecca,"handcuffed to bed, gagged by"
sara's sister,rebecca,breast tattooed in same place as
rebecca's father,friendship difficulties,hinted at during Thanksgiving stay
medication,rebecca,"supposed to be taking, found Zyprexa pills by Sara and Stephen"
rebecca,irene,Rebecca moves to smother Irene
sara,irene,Sara attempts to stop Rebecca from smothering Irene
sara,phone,"Sara tries to call for help, but the phone is dead"
irene,sara,"Bound and helpless, Irene pleads for Sara to save herself"
stephen,rebecca,Stephen briefly disarms Rebecca but is knocked unconscious
sara,window,Sara tries to get out the window to get help
rebecca,irene,"While choking, Sara stabs Rebecca with a box cutter, killing her after saying ""You were never my friend"""
sara,dorm,Sara moves back into her dorm
sara,extra bed,"Sara moves the extra bed out of her room with the help of Stephen, proclaiming that she does not want anyone as a roommate for a while"
