node_1,node_2,edge
movies,summary,"A movie is a form of visual entertainment that tells a story through moving images. The plot or storyline of the movie is conveyed through dialogue, action, and narrative."
satyameva jayate,lokpal bill,Satyameva Jayate proposes Lokpal bill in the parliament but due to lack of votes his plea gets rejected
dadasaheb balram azad,lokpal bill,Dadasaheb Balram Azad had had scarified his life for the same which also left his mother in coma
satyameva jayate,corrupt people,Satyameva Jayate starts to kill corrupt people in the city to stop corruption
jay balram azad,acp,The officials decide to appoint a tough cop Jay Balram Azad twin brother of Satya forms rest of the plot
satyameva jayate,jay balram azad,It is revealed that Jay is also involved with his brother in the killings
suhasini devi azad,satyameva jayate,"Satya Balram Azad is the Home Minister of Uttar Pradesh, who secretly commits gruesome vigilante killings in order to provide justice to the oppressed. Due to ongoing killings, the police department assigns Satya's twin brother ACP Jay Balram Azad to investigate the case."
suhasini devi azad,satyameva jayate's mother,Suhasini Devi Azad wakes up from her coma and reveals that Satya's wife
satyamaeva jayate 2,chandra prakash maurya,"villain in the movie, responsible for the death of Dadasahab Azad as revealed by Suhasini Devi Azad"
satyamaeva jayate 2,satya and jay's mother suhasini devi azad,wakes up from coma to reveal truth about Chandra Prakash Maurya's involvement in father Dadasahab Azad's death
satyamaeva jayate 2,dadasahab azad,"patriotic farmer who fought for the rights of the people, died due to Chandra Prakash Maurya's involvement"
satyamaeva jayate 2,cm chandra prakash maurya,"present-CM Chandra Prakash Maurya was behind the death of Dadasahab Azad, as revealed by Suhasini Devi Azad"
satyamaeva jayate 2,principal photography for satyameva jayate 2,"commenced on 20 October 2020 in Lucknow, before moving to Mumbai and Raebareli"
satyamaeva jayate 2,filming wrapped up,in the last week of January 2021 in Mumbai
satyamaeva jayate 2,music for satyameva jayate 2,"composed by Arko, Rochak Kohli, Tanishk Bagchi, Payal Dev and Jass Manak"
satyamaeva jayate 2,first song 'meri zindagi hai tu',"a remake from Nusrat Fateh Ali Khan's song with same name, lyrics by Manoj Muntashir"
satyamaeva jayate 2,second song 'tenu lehanga',a remake of the 2019 Punjabi song 'Lehanga' by Jass Manak
satyamaeva jayate 2,third song 'kusu kusu',a remake of Islamic song 'Muhammad Nabina'
satyameva jayate 2,john abraham,"John Abraham stars as the lead actor in Satyameva Jayate 2, portraying a vigilante fighting against corruption."
mass entertainer,satyameva jayate 2,Bollywood Hungama calls Satyameva Jayate 2 a 'power packed mass entertainer' in their review.
negative reviews,satyameva jayate 2,"The film received negative reviews from critics, including Anupama Chopra who called it a 'battersome' experience."
box office performance,satyameva jayate 2,"As of December 16, 2021, the film has grossed ₹15.79 crore in India and ₹1.50 crore overseas, for a worldwide gross collection of ₹17.29 crore."
tricolor,satyameva jayate 2,The film begins with a visual of the Tricolor.
outdated film,satyameva jayate 2,Murtuza Nullwala of Eastern Eye calls Satyameva Jayate 2 an 'outdated film' in their review.
tacky script,satyameva jayate 2,"Sonil Dedhia of News 18 criticizes the film's script, calling it 'tacky'."
