node_1,node_2,edge
florian zeller,screenplay,Florian Zeller announced in May 2019 that he was to direct a screenplay with Christopher Hampton based on his play.
christopher hampton,screenplay,Florian Zeller announced in May 2019 that he was to direct a screenplay with Christopher Hampton based on his play.
may 2019,announcement,"In May 2019, it was announced that Florian Zeller and Christopher Hampton were to collaborate on a screenplay based on one of Zeller's plays."
florian zeller,director,Florian Zeller was announced in May 2019 as the director of a film based on his play.
olivia colman,actor,"Olivia Colman was cast in the film based on Florian Zeller's play, which he is directing with Christopher Hampton."
anthony hopkins,actor,"Anthony Hopkins was also cast in the film based on Florian Zeller's play, which he is directing with Christopher Hampton."
olivia williams,actor,"Later in May 2019, Olivia Williams joined the cast of the film based on Florian Zeller's play, which he is directing with Christopher Hampton."
rufus sewell,actor,"Later in May 2019, Rufus Sewell joined the cast of the film based on Florian Zeller's play, which he is directing with Christopher Hampton."
imogen poots,actor,"Later in May 2019, Imogen Poots joined the cast of the film based on Florian Zeller's play, which he is directing with Christopher Hampton."
mark gatiss,actor,"Later in May 2019, Mark Gatiss joined the cast of the film based on Florian Zeller's play, which he is directing with Christopher Hampton."
west london film studios,filming location,Filming for the film based on Florian Zeller's play began at West London Film Studios in May 2019.
"hayes, hillingdon",filming location,"Filming for the film based on Florian Zeller's play also took place in Hayes, Hillingdon in May 2019."
les films du cru,production company,The film based on Florian Zeller's play is being produced by Les Films du Cru.
film4,production company,The film based on Florian Zeller's play is also being produced by Film4.
orange studio,production company,The film based on Florian Zeller's play is additionally being produced by Orange Studio.
studiocanal,production company,The film based on Florian Zeller's play is also being produced by StudioCanal.
ciné+,production company,The film based on Florian Zeller's play is additionally being produced by Ciné+.
