node_1,node_2,edge
ranbir kapoor,murphy,Ranbir Kapoor plays the character of Murphy in the movie.
ranbir kapoor,barfi,Barfi is a nickname or alternative name for the character played by Ranbir Kapoor in the movie.
priyanka chopra,jhilmil chatterjee,Priyanka Chopra plays the character of Jhilmil Chatterjee in the movie.
ileana d'cruz,shruti ghosh sengupta,Ileana D'Cruz plays the character of Shruti Ghosh Sengupta in the movie.
saurabh shukla,inspector sudhanshu dutta,Saurabh Shukla plays the character of Inspector Sudhanshu Dutta in the movie.
ashish vidyarthi,durjoy chatterjee,"Ashish Vidyarthi plays the character of Durjoy Chatterjee, who is Jhilmil's father in the movie."
saayoni ghosh,piyali,"Saayoni Ghosh plays the character of Piyali, who is Shruti's friend in the movie."
jisshu sengupta,ranjeet sengupta,"Jisshu Sengupta plays the character of Ranjeet Sengupta, who is Shruti's fiancé-turned-husband in the movie."
roopa ganguly,mrs. ghosh,"Roopa Ganguly plays the character of Mrs. Ghosh, who is Shruti's mother in the movie."
uday tikekar,mr. ghosh,"Uday Tikekar plays the character of Mr. Ghosh, who is Shruti's father in the movie."
haradhan bandopadhyay,daju,"Haradhan Bandopadhyay plays the character of Daju, who is the owner of Jhilmil's special-care home in the movie."
arun bali,nanaji,"Arun Bali plays the character of Nanaji, who is Jhilmil's maternal grandfather in the movie."
preeti mamgain,mrs. chatterjee,"Preeti Mamgain plays the character of Mrs. Chatterjee, who is Jhilmil's mother in the movie."
akash khurana,jungbahadur chhetri,"Akash Khurana plays the character of Jungbahadur Chhetri, who is Barfi's father in the movie."
kenneth desai,senior inspector,Kenneth Desai plays the character of Senior Inspector in the movie.
rajeev mishra,inspector dutta's assistant,Rajeev Mishra plays the character of Inspector Dutta's assistant in the movie.
bholaraj sapkota,bhola,"Bholaraj Sapkota plays the character of Bhola, who is Barfi's friend in the movie."
sujata sehgal,ms. d'souza,"Sujata Sehgal plays the character of Ms. D'Souza, who is the founding member of Jhilmil's special-care home in the movie."
nirmala thappa,malti mausi,"Nirmala Thappa plays the character of Malti Mausi, who is associated with Jhilmil's special-care home in the movie."
