node_1,node_2,edge
chucky,glen/glenda,"Child of Chucky and Tiffany, being held captive by 'Psychs' until he escapes and resurrects the Chucky and Tiffany dolls with a voodoo amulet"
glen/glenda,chucky,"Parent-child relationship between Glen/Glenda, who is gender-confused, and Chucky"
tiffany,glen/glenda,"Parent-child relationship between Tiffany and Glen/Glenda, whom she calls 'Glenda'"
psychs,glen/glenda,Abuser who holds Glen/Glenda captive and mistreats him by mockingly calling him 'Shitface'
jennifer tilly,"chucky, tiffany, glen/glenda",Character in a film that features the resurrected Chucky and Tiffany dolls
limousine,"chucky, tiffany, glen/glenda","Mode of transportation used by Chucky, Tiffany, and Glen/Glenda to reach Jennifer's home"
special effects technician,"chucky, tiffany, glen/glenda","Victim beheaded by Chucky, Tiffany, and Glen/Glenda in Jennifer's home"
heart of damballa,glen/glenda,Voodoo amulet used by Glen/Glenda to resurrect the Chucky and Tiffany dolls
glen/glenda,parents,witnessed their parents murder the technician
chucky,tiffany,are taken aback by the question from Glen/Glenda regarding why they kill
tiffany,chucky,feels parental responsibility for Chucky and tries to force him to stop killing for the sake of their child
chucky,tiffany,falsely promises Tiffany that he will stop killing
jennifer,redman,invites Redman to her home for a role as the Virgin Mary in his feature-film directorial debut
chucky,tiffany,"knocks Jennifer and Joan out and uses a turkey baster to inseminate Jennifer with Chucky's semen, intending to use her baby as a host for Glen/Glenda's soul"
pete peters,glen/glenda,"Chucky takes Glen/Glenda on a secret joyride to kill Pete Peters, a paparazzo who had been following Jennifer around"
pete peters,sulfuric acid,"accidentally causes Peters to fall and be soaked in sulfuric acid, killing him"
glen/glenda,chucky,Glen/Glenda is horrified while Chucky is delighted by the accidental killing of Peters
jennifer,redman,"Jennifer believes Redman is responsible for her pregnancy, but Redman explains he had a vasectomy. Redman fires Jennifer from his film due to her pregnancy, as he thinks pregnant women are not attractive enough for his vision."
jennifer,tiffany,"Jennifer wakes up believing she is pregnant, but Tiffany guts Redman in anger over his misogyny, which Jennifer witnesses."
redman,misogyny,Redman's dismissal of pregnant women as not attractive enough for his vision is a consequence of his misogynistic beliefs.
glen/glenda,pacifism,"Glen, one soul in the body of Glen/Glenda, is a pacifist."
glen/glenda,psychopathy,"The other soul in the body of Glen/Glenda, Glenda, is a psychopath."
jennifer,voodoo magic,Jennifer's full pregnant belly is a consequence of the voodoo magic she experiences.
chucky,living doll,"Chucky accepts his life as a living doll and no longer wishes to become human, disgusted by this realization."
tiffany,leaving chucky,Tiffany decides to leave Chucky due to his violent behavior.
stan,sacrifice,Stan sacrifices himself to save Jennifer from harm.
jennifer,hospital,Jennifer is rushed to the hospital.
jennifer,tiffany,"Tiffany drugs Jennifer and begins to possess her,"
chucky,tiffany,but Chucky breaks in and kills Tiffany with an axe.
glen,chucky,"Devastated, Glen snaps and attacks Chucky,"
glen,axe,striking him with the axe.
glen,chucky,but Glen reveals it is actually him and not his murderous twin.
chucky,praise,who praises Glen for his actions before being decapitated.
glen,chucky,"Realizing what he has done, Glen breaks down in tears as Jennifer comforts him."
jennifer,children,"Jennifer is raising Glen and Glenda,"
glenda,nanny,"during a birthday party for the twins, a nanny quits because Glenda scares her."
jennifer,tiffany,Tiffany had successfully transferred her soul into Jennifer's body.
glen,chucky,"Meanwhile, Glen opens a birthday present to find Chucky's severed arm,"
