node_1,node_2,edge
movie,summary,MOVIE's SUMMARY is a part of MOVIE
paris hilton,the hottie & the nottie,Paris Hilton starred in the film titled 'The Hottie & The Nottie'.
joel david moore,nate cooper,Joel David Moore portrayed the character of Nate Cooper in the movie.
christine lakin,cristabel abbott,Christine Lakin played the role of Cristabel Abbott in the film.
january 2007,the hottie & the nottie,Production of 'The Hottie & The Nottie' began in January 2007.
"february 8, 2008",the hottie & the nottie,The movie 'The Hottie & The Nottie' was released on this date.
paris hilton,worst actress,"Paris Hilton received the Golden Raspberry Award for Worst Actress in 2008, which was for her role in 'The Hottie & The Nottie'."
cristabel abbott,"short, unattractive brunette girl","In the film, Cristabel Abbott still maintains friendship with the same short, unattractive brunette girl whom Nate also knew in elementary school."
cristabel abbott,june phigg,"In the movie, Cristabel refuses to go on a date with Nate unless June has a date as well."
nate cooper,men recoil at the sight of her,"In the film, men recoil at the sight of June Phigg when Nate tries to find a boyfriend for her."
the hottie & the nottie,cristabel jogs on the beach every day with many suitors trying to catch her eye,This scene takes place in 'The Hottie & The Nottie'.
tom putnam,director of 'the hottie & the nottie',Tom Putnam directed the movie titled 'The Hottie & The Nottie'.
heidi ferrer,writer of 'the hottie & the nottie',Heidi Ferrer wrote the screenplay for 'The Hottie & The Nottie'.
albino stalker,cristabel jogs on the beach every day with many suitors trying to catch her eye,"In 'The Hottie & The Nottie', Cristabel jogs on the beach every day with many suitors trying to catch her eye, including an albino stalker."
the hottie,the nottie,close friendship that develops into romantic love
june,cristabel,"both women are potential love interests for the protagonist Nate, but Cristabel is chosen first"
johann wulrich,the hottie (june),"has a romantic interest in The Hottie, but his intentions are revealed to be solely physical and shallow"
nate,cristabel,initial romantic relationship that eventually ends due to Cristabel's discomfort with Nate's obsession with The Hottie
june,johann wulrich,"initially receptive to Johann's romantic advances, but ultimately realizes her true feelings for Nate"
nate,june,eventually falls in love with The Hottie after she undergoes a transformation and becomes more physically attractive
the hottie and the nottie,financial disaster,"grossed $1,596,232 worldwide, making the film a gigantic financial disaster."
the hottie and the nottie,critically acclaimed,received near-universally negative reviews from critics.
the hottie and the nottie,average attendance,"each theater averaging $249. In the end, the film grossed $1,596,232 worldwide, representing an average of five per showing on its opening weekend."
the hottie and the nottie,box office ranking,"opened at number 32 in the UK, receiving $34,231 in 28 theaters."
the hottie and the nottie,critical consensus,Rotten Tomatoes' approval rating of 6% based on reviews from 67 critics.
paris hilton,the hottie and the nottie,starred in 'The Hottie and the Nottie'.
the hottie,terrible film,"Deeply offensive, excruciatingly awful, disgusting, wretched, worst movie ever made."
the hottie,house of wax,Appears on screen after House of Wax
peter travers,the hottie,Gives half-star rating to The Hottie because it takes guts (or gross dim-wittedness) [for Hilton] to appear on screen again after House of Wax.
nathan lee,the hottie,"Calls it ""crass, shrill, disingenuous, tawdry, mean-spirited, vulgar, idiotic, boring, slapdash, half-assed, and very, very unfunny."""
james berardinelli,the hottie,"Describes the film's comedy as ""about as funny as the anal rape scene in The War Zone"""
richard roeper,the hottie,"Calls the film ""excruciatingly, painfully, horribly, terribly awful,"" and argues that ""nobody in this movie really should have a career in movies"""
mark kermode,the hottie,"Calls it ""a fascist eugenic tract...it's disgusting"""
connie ogle,the hottie,"Describes The Hottie and the Nottie thus: ""Imagine the worst movie you've ever seen. Got it? Now try to think of something worse. That something is this movie – wretched, embarrassing and a waste of the time and energy of everyone involved."""
newsday,the hottie,"While panning the film, was one of a handful of critics to see merit in it. He gave the film two out of four stars and concluded that ""The Hottie and the Nottie is no worse in many ways than a lot of teen-centric comedies,"""
the hottie and the nottie,worst of 2008 lists,"The film featured on several worst of 2008 lists, including that of The Times, The Star-Ledger, The Tart, Metromix, and in 2018 British critic Mark Kermode included the film on his list of the ten worst films of the past ten years."
the hottie and the nottie,two out of four stars,gave the film two out of four stars
teen-centric comedies,the hottie and the nottie is no worse in many ways than a lot of,The film is compared to teen-centric comedies by the critic who gave it two out of four stars.
