node_1,node_2,edge
bucky larson,adult performers in the 1970s (parents),"Bucky discovers that his parents were famous adult performers in the 1970s, which motivates him to pursue a career in porn."
bucky larson,small buck teeth,"Bucky has small buck teeth, which may affect his confidence and ability to perform in the adult film industry."
bucky larson,incredibly small penis,"Bucky's penis is incredibly small, which may also affect his confidence and ability to perform in the adult film industry."
bucky larson,kathy (kindhearted waitress),"Bucky falls in love with Kathy, who introduces him to Gary."
bucky larson,miles deep (fading porn director),Bucky meets Miles Deep and they make a test film together.
miles deep,dick shadow (narcissistic porn star),Dick Shadow humiliates Bucky at an industry party.
bucky larson,test film with miles deep,"Bucky and Miles Deep make a test film together, but it is initially considered a failure."
crew member,youtube,"One of the crew members uploads Bucky's small penis video to YouTube, which leads to his popularity and success in the adult film industry."
bucky,kathy,"Before he can tell her how he feels, she rejects him without explanation, leaving him brokenhearted."
miles,bucky,Miles decides to produce films with him independently.
miles,kathy,Miles confesses that he had told Kathy to leave Bucky so he could have his prize star all to himself.
bucky,steakhouse,Bucky opens his own steakhouse.
gary,bucky,"Gary comes into the restaurant and yells at him for owing him rent money, and tells Bucky he is 'just like John Mayer'."
kathy,horrible date with dick shadow,Kathy is on a horrible date with Dick Shadow during a film shoot.
