node_1,node_2,edge
time loop,romantic comedy,"Palm Springs begins with Nyles already within the time loop, making the film feel like 'a sequel to a movie that doesn't exist' according to Siara, and then adding Sarah as a second character within the loop to serve as a point of navigation for the viewer. While Groundhog Day (1993) was a fundamentally important starting point for the use of a time loop in a romantic comedy, Barbakow and Siara knew they needed to distance their script from that film.' "
concept,screenplay concept,"Director Max Barbakow and screenwriter Andy Siara came up with the film's concept as students at the American Film Institute, 'with an equal eye on Jungian philosophical ideas and the pragmatic importance of writing a small-budget film that would be easy to produce'. When Siara went on to write for the television series Lodge 49, they redeveloped the script into a more ambitious project with a science fiction edge.' "
production,tax credit,"The project was announced in November 2018 after it secured a tax credit to film in California; however, given the limitations of that tax credit, they were forced to film in the Los Angeles area rather than Palm Springs.' "
cabazon dinosaurs,filming location,"The limitations of that tax credit forced the filmmakers to shoot the movie in the Los Angeles area instead of Palm Springs, resulting in the use of the Cabazon Dinosaurs as a filming location."
palm springs,alternate filming location,"The limitations of that tax credit forced the filmmakers to shoot the movie in the Los Angeles area instead of Palm Springs, which served as an alternate filming location."
los angeles area,alternate filming location,"As a result of the limitations of that tax credit, the filmmakers were forced to shoot in the Los Angeles area instead of Palm Springs."
andy samberg,star,Andy Samberg was announced as starring in the film.
cristin milioti,actor,"In March 2019, Cristin Milioti joined the cast of the film."
j. k. simmons,actor,"In March 2019, J. K. Simmons joined the cast of the film."
camila mendes,actor,Camila Mendes was added to the cast of the film in April 2019.
