node_1,node_2,edge
pinocchio,geppetto,Pinocchio is created by Geppetto as a puppet based on his deceased son. Geppetto wishes for Pinocchio to come alive and the Blue Fairy grants his wish.
pinocchio,blue fairy,The Blue Fairy brings Pinocchio to life and appoints Jiminy Cricket as his conscience.
pinocchio,jiminy cricket,Jiminy Cricket is appointed by the Blue Fairy to be Pinocchio's conscience and teach him right from wrong.
pinocchio,school headmaster,The School Headmaster throws Pinocchio out of the school because he is a puppet.
pinocchio,stromboli,"Honest John convinces Pinocchio to go and live with Stromboli, but secretly plans to sell him to the puppet master."
geppetto,pinocchio,"Geppetto sends Pinocchio to school, but when he fails to come home for dinner, Geppetto and his pets go out looking for him."
honest john,pinocchio,"Honest John approaches Pinocchio and convinces him to live a life of fame, but in reality, plans to sell him to Stromboli."
sofia,pinocchio,Sofia helps Pinocchio escape from Honest John and convinces him to go back to school.
john,jiminy,places a glass jar over
geppetto,pinocchio,go out to look for when he fails to come home for dinner
figaro,cleo,go out to look for Pinocchio when he fails to come home for dinner
pinocchio,fabiana,"befriends one of Stromboli's employees, Fabiana and her puppet Sabina"
stromboli,pinocchio,locks him in a bird cage to prevent him from ever leaving
jiminy,stromboli's coach,reaches the keys for the cage's lock by telling lies to make his nose grow longer
pinocchio,children driven by a charismatic coachman,swiped up by a coach full of children driven by a charismatic Coachman
pinocchio,lampwick,befriends an irresponsible boy named Lampwick
coachman,children driven by a charismatic coachman,"taking them to Pleasure Island, where misbehavior is encouraged"
jiminy,pinocchio,finds that all of the children have turned into donkeys and that the Coachman sells them to the salt mines with help from his Vapor Monsters
lampwick,pinocchio,witnesses Lampwick's transformation at a billiard hall as Pinocchio gains a donkey's ears and tail
geppetto,pinocchio,reunites with after Sofia gave him a flyer of Pleasure Island to let him know where Pinocchio was and that he sold all of his clocks to buy a boat to go there
sofia,geppetto,gave him a flyer of Pleasure Island to let him know where Pinocchio was and that he sold all of his clocks to buy a boat to go there
pinocchio,fabiana,reunites with Fabiana and Sabina who tell him that Stromboli has been arrested by
monstro,pinocchio,"Monstro swallowed Pinocchio and Geppetto while they were trying to save Geppetto. They took refuge in a giant boat inside Monstro's stomach, and Pinocchio came up with the idea to make him sneeze by starting a fire within him. The plan worked, and Monstro sneezed them out, but he gave chase that ended with the group crashing on dry land."
geppetto,pinocchio,"When Pinocchio and Geppetto were swallowed by Monstro, Believing his father has died, Pinocchio mourned over him. However, a magical tear fell from Pinocchio's eye on Geppetto, reviving him. Geppetto told Pinocchio that despite being a puppet, he had proven himself to be a true boy at heart as they departed for home."
pinocchio,stromboli,"Pinocchio declined the offer of joining Fabiana and Sabina, who told him that Stromboli had been arrested by the Carabinieri for cruelty against his employees."
fabiana,pinocchio,"Fabiana and Sabina offered Pinocchio to join them, but Pinocchio declined, wanting to save his father."
sofia,pinocchio,"Sofia pulled a rope for Pinocchio to hold out to the Mediterranean Sea, where they soon found Geppetto in his boat."
geppetto,monstro,They were swallowed by a giant sea monster named Monstro.
jiminy,pinocchio,"In the end, Jiminy narrated that stories have been told of Pinocchio becoming a real boy, but didn't confirm them (even as Pinocchio's limbs appeared to turn human), stressing that, in his heart, Pinocchio is already a real boy."
