node_1,node_2,edge
movies,summary,a movie is represented by its summary
ajay devgn,ashfaque,Ajay Devgn plays the character of Ashfaque in the movie Ajay Devgn Halla Bol.
ajay devgn,sameer khan,Ajay Devgn's screen name in the movie Ajay Devgn Halla Bol is Sameer Khan.
pankaj kapur,sidhu,"Pankaj Kapur plays the character of Sidhu in the movie Ajay Devgn Halla Bol, who is a reformed dacoit and runs a street theatre group."
halla bol! ,street theatre,"The movie Ajay Devgn Halla Bol references the street play 'Halla Bol!' by the theatre group Jan Natya Manch, which was led by Safdar Hashmi."
safdar hashmi,jan natya manch,"Safdar Hashmi was the leader of the theatre group Jan Natya Manch, whose members used street theatre as a medium to bring about an awakening in the masses."
jessica lall,murder case,The movie Ajay Devgn Halla Bol touches upon the Jessica Lall murder case.
aamir khan,narmada bachao andolan,The movie Ajay Devgn Halla Bol references Aamir Khan's involvement with the Narmada Bachao Andolan.
right to information act,corruption,The movie Ajay Devgn Halla Bol touches upon the Right to Information Act and public participation in fighting corruption.
ashfaque,sameer khan,"Ashfaque's determined struggle pays off and he gets a break in films, leading to his new screen name Sameer Khan. He moves up the success ladder in a very short time and becomes Sameer Khan the superstar."
sameer khan,corruption,"Amidst all the adulation and applause, he slowly loses his own identity and imbibes all characteristics of the various roles played by him on screen. Corruption overtakes his entire system, alienating him from all loved ones, including his wife Sneha (Vidya Balan)."
sameer khan,superstar,"Soon, he becomes Sameer Khan the superstar."
