node_1,node_2,edge
andrew neiman,buddy rich,"Andrew idolizes Buddy Rich, a renowned jazz drummer."
andrew neiman,terence fletcher,"Andrew attends the prestigious Shaffer Conservatory in New York City at the invitation of Terence Fletcher, a strict conductor."
carl tanner,andrew neiman,Carl is the core drummer for Studio ensemble that Andrew joins as an alternate.
"hank levy's ""whiplash""",andrew neiman,"During his first rehearsal, Andrew fails to keep tempo on Hank Levy's 'Whiplash', leading to a confrontation with Terence Fletcher."
tanner,andrew neiman,"During the Studio ensemble's performance, Andrew misplaces Tanner's sheet music."
fletcher,andrew neiman,"After Andrew replaces Tanner to perform 'Whiplash' from memory, Fletcher promotes him to the core drummer position."
ryan connolly,andrew neiman,"Fletcher reassigns Andrew's core drummer position to Ryan, causing a rift between the two."
nicole,andrew neiman,"Due to his obsession with music, Andrew breaks up with Nicole, his girlfriend."
sean casey,fletcher,"During rehearsal, Fletcher announces Sean Casey's death in a car accident."
fletcher,sean casey,"died in a car accident, former member of Studio Band"
fletcher,casey's parents,responsibility for Sean Casey's death and seeking accountability from Fletcher
andrew,fletcher,conflict arising from Andrew's expulsion from Shaffer due to his attack on Fletcher during the performance
sean casey,depression and anxiety inflicted by fletcher's abuse,revealed during Andrew's meeting with Sean Casey's parents' lawyer
fletcher,his teaching methods,"admitted by Fletcher to be harsh but necessary to motivate his students, as narrated during the conversation with Andrew at a jazz club"
jo jones,charlie,alleged incident where Jo Jones threw a cymbal at Charlie in a story cited by Fletcher during his conversation with Andrew at the jazz club
harsh methods,motivation,Fletcher's belief that tough teaching techniques are necessary to inspire his students.
jo jones,charlie parker,Fletcher uses the story of Jo Jones allegedly throwing a cymbal at Charlie Parker as an example to encourage Andrew not to let discouragement hold him back from achieving greatness in jazz music.
andrew,jvc jazz festival,"Fletcher invites Andrew to perform with his professional band at the New York JVC Jazz Festival, playing the same songs from the Shaffer Studio Band."
andrew,nicole,Andrew learns that Nicole is in a new relationship when he calls her to invite her to his performance at the festival.
fletcher,revenge,"As revenge for Andrew testifying against him, Fletcher leads his band into a song that Andrew does not know during their performance at the festival."
andrew,humiliation,"After a disastrous performance due to Fletcher's revenge, Andrew walks offstage, feeling humiliated."
jim,andrew,Jim embraces Andrew backstage after his disastrous performance at the festival.
andrew,drum kit,"Andrew returns to the stage, takes the drum kit from Fletcher, and cuts off his introduction to the next tune by cueing the band into 'Caravan'."
fletcher,anger,"Initially angry at Andrew's actions, Fletcher resumes conducting the band during their performance of 'Caravan'."
andrew,improvised solo,"During their performance of 'Caravan', Andrew continues into an unexpected improvised solo, impressing Fletcher and earning his approval before the final chord is played."
