node_1,node_2,edge
carol danvers,tony stark,Carol Danvers rescues Tony Stark and Nebula from deep space.
carol danvers,nebula,Carol Danvers rescues Tony Stark and Nebula from deep space.
tony stark,nebula,Carol Danvers rescues Tony Stark and Nebula from deep space.
carol danvers,remaining avengers,"Locating Thanos on an uninhabited planet, they plan to use the Infinity Stones to reverse his actions but find that Thanos has destroyed them."
tony stark,remaining avengers,"Locating Thanos on an uninhabited planet, they plan to use the Infinity Stones to reverse his actions but find that Thanos has destroyed them."
bruce banner,stark,"Locating Thanos on an uninhabited planet, they plan to use the Infinity Stones to reverse his actions but find that Thanos has destroyed them."
natasha romanoff,remaining avengers,"Locating Thanos on an uninhabited planet, they plan to use the Infinity Stones to reverse his actions but find that Thanos has destroyed them."
james rhodes,remaining avengers,"Locating Thanos on an uninhabited planet, they plan to use the Infinity Stones to reverse his actions but find that Thanos has destroyed them."
rocket,stark and banner,"Banner, Rocket, Rogers, and Stark build a time machine."
thor,new asgardian refugee settlement,"Recruit an overweight, despondent Thor from the New Asgardian refugee settlement."
banner,ancient one,Banner convinces the Ancient One to give him the Time Stone after
loki's attack,new york city,"Banner, Lang, Rogers, and Stark time-travel to New York City during Loki's attack in 2012."
barton,family,Becomes a vigilante after the erasure of his family.
new york city,loki's attack in 2012.,Location where Loki's attack in 2012 occurred.
sanctum sanctorum,banner,Place where Banner convinced the Ancient One to give him the Time Stone.
stark tower,hydra sleeper agents,Location where Rogers retrieved the Mind Stone from Hydra sleeper agents.
stark tower,space stone,Failed attempt by Stark and Lang to steal the Space Stone from its location in Stark Tower.
lewisberg air force base,camp lehigh,Location where Rogers traveled back to in 1970.
stark tower,space stone,Earlier version of the Space Stone obtained by Stark at Camp Lehigh in 1970.
camp lehigh,peggy carter,"Location where Rogers saw his lost love, Peggy Carter."
asgard,reality stone,Location where Rocket extracted the Reality Stone from Jane Foster.
asgard,mjolnir,"Location where Thor retrieved his old hammer, Mjolnir."
2014,nebula,Travel location of Barton and Romanoff in 2014.
morag,power stone,Location where Rhodes and Nebula stole the Power Stone before Peter Quill could.
vormir,soul stone,Travel location of Barton and Romanoff in their search for the Soul Stone.
present,red skull,Person who is the keeper of the Soul Stone.
thanos,nebula (future self),"In the present, Nebula (impersonating her future self) uses a time machine to transport Thanos and his warship to the present and destroys the Avengers Compound. However, present-day Nebula convinces 2014-Nebula to betray Thanos, but is unable to convince her future self."
thanos,stones,Thanos uses the Stones to destroy the universe and create a new one.
stark,banner,"Stark, Banner, and Rocket build a gauntlet to place the Stones into for undoing Thanos's disintegrations."
banner,gauntlet,"Banner uses the gauntlet, as he has the most resistance to their radiation, to undo Thanos's disintegrations."
thor,mjolnir,Thor and a Mjolnir-wielding Rogers are overpowered by Thanos.
stark,thanos's army,"Stark steals the Stones and uses them to disintegrate Thanos and his army, sacrificing himself."
valkyrie,new asgard,Thor appoints Valkyrie as the new king of New Asgard.
carter,rogers,Rogers returns the Stones and Mjolnir to their proper timelines and remains in the past to live with Carter.
sam wilson,shield,"In the present, an elderly Rogers passes his shield to Sam Wilson."
