node_1,node_2,edge
shelley baum,cat,hears meowing near koi pond and investigates
shelley baum,hand,drowns Shelley Baum and her cat
leann cole,beth raymond,discusses Shelley Baum's funeral with
leann cole,cellphone,answers call from Shelley Baum on lullaby ringtone
leann cole,shelley baum,dies after falling off overpass and being struck by train
leann cole,red candy,pops out of her mouth as she dies
leann cole,severed hand,dials number on phone after she dies
brian sousa,coffee shop,leaves coffee shop after experiencing hallucinations
brian sousa,red candy,ejected from his mouth as he collapses
brian sousa,torso,impaled by rebar during construction site explosion
jack andrews,shelley baum,intern at Saint Luke's hospital where his sister died
marie layton,saint luke's,"Marie Layton, a geriatric nurse, worked at Saint Luke's where her eldest daughter Ellie had nine admissions between April and May for various causes."
ellie,marie layton,Marie Layton's eldest daughter Ellie had nine admissions between April and May at Saint Luke's due to various causes.
laurel,marie layton,Marie Layton's daughter Laurel was also admitted to Saint Luke's for various reasons during the same period as her sister Ellie.
jean,saint luke's,"Jean, a psychiatric nurse, questioned Marie Layton at Saint Luke's."
beth,taylor anthony,Beth consoles her friend Taylor Anthony who is distraught by a premonitory feeling of being the next victim. Beth removes the batteries from their cellphones to disable them.
taylor anthony,jack,Taylor Anthony and Jack are involved in the events that are interrelated.
cps,marie layton,"The CPS file for further consultation attached to Ellie's autopsy report indicates that Jean, a psychiatric nurse, questioned Marie at Saint Luke's."
ted summers,taylor anthony,TV producer Ted Summers approaches Taylor earlier to record her exorcism.
beth,marie,ventures to Saint Luke's and encounters Jack
beth,crawlspace,discovers Marie's charred corpse clutching a cellphone
beth,jack,tells Jack that Marie might have brought her there to protect her
laurel,ellie,incises Laurel with a knife in their bedroom
ellie,constituents,faced the future curse's constituents
ellie,lullaby-esque music emanating from the teddy,audible during every victim's call
ellie,candies,"Ellie injured Beth, but she still provided candies."
ellie,beth,"Realizing Ellie caused the curse, Jack drives to Beth's house."
jack,beth's house,"After he enters, somebody knocks on the door."
marie,ellie,"As he peers through the peephole, a knife stabs through it, killing him. Ellie appears and attacks Beth, but Marie's spirit intervenes."
marie,beth,"and binds Ellie in Jack's phone,"
marie,reconciliation,"Marie's spirit intervenes, reconciles with Beth before evanescing."
jack,red candy,Jack's mouth spills a red candy and his cellphone auto-dials.
