node_1,node_2,edge
india se,dev kohli,All songs are written by Dev Kohli.
india se,sonu nigam,"Sonu Nigam sings 'India Se' from the movie's soundtrack, which is written by Dev Kohli."
jodiyan ban gayi,dev kohli,All songs are written by Dev Kohli.
jodiyan ban gayi,adnan sami,"Adnan Sami sings 'Jodiyan Ban Gayi' from the movie's soundtrack, which is written by Dev Kohli."
jodiyan ban gayi,udit narayan,"Udit Narayan sings 'Jodiyan Ban Gayi' from the movie's soundtrack, which is written by Dev Kohli."
kudi vi soni,dev kohli,All songs are written by Dev Kohli.
kudi vi soni,babul supriyo,"Babul Supriyo sings 'Kudi Vi Soni' from the movie's soundtrack, which is written by Dev Kohli."
kudi vi soni,udit narayan,"Udit Narayan sings 'Kudi Vi Soni' from the movie's soundtrack, which is written by Dev Kohli."
meri jaan mujhe choo le,dev kohli,All songs are written by Dev Kohli.
meri jaan mujhe choo le,remona,"Remona sings 'Meri Jaan Mujhe Choo Le' from the movie's soundtrack, which is written by Dev Kohli."
tera chand sa ye chehra,dev kohli,All songs are written by Dev Kohli.
tera chand sa ye chehra,babul supriyo,"Babul Supriyo sings 'Tera Chand Sa Ye Chehra' from the movie's soundtrack, which is written by Dev Kohli."
tera chand sa ye chehra,shreya ghoshal,"Shreya Ghoshal sings 'Tera Chand Sa Ye Chehra' from the movie's soundtrack, which is written by Dev Kohli."
tu mera pyar hai sanam,dev kohli,All songs are written by Dev Kohli.
tu mera pyar hai sanam,babul supriyo,"Babul Supriyo sings 'Tu Mera Pyar Hai Sanam' from the movie's soundtrack, which is written by Dev Kohli."
tu mera pyar hai sanam,suzanne,"Suzanne sings 'Tu Mera Pyar Hai Sanam' from the movie's soundtrack, which is written by Dev Kohli."
usa wich la,dev kohli,All songs are written by Dev Kohli.
usa wich la,sunidhi chauhan,"Sunidhi Chauhan sings 'USA Wich LA' from the movie's soundtrack, which is written by Dev Kohli."
usa wich la,shaan,"Shaan sings 'USA Wich LA' from the movie's soundtrack, which is written by Dev Kohli."
