node_1,node_2,edge
development,play,"Tommy Wiseau originally wrote The Room as a play in 2001, after seeing the film The Talented Mr. Ripley."
development,book,"He then adapted the play into a 540-page book, which he was unable to get published."
production,development,"Wiseau decided to adapt the play into a film, producing it himself in order to maintain creative control."
wealth,tommy wiseau,"According to The Disaster Artist (Greg Sestero's book based on the making of The Room), Wiseau was already independently wealthy at the time production began."
funding,tommy wiseau,"He claims to have amassed a fortune through entrepreneurship and real estate development in Los Angeles and San Francisco, a story Sestero found impossible to believe."
marketing,production,"Wiseau spent the entire US$6,000,000 (equivalent to about $9,900,000 in 2023) budget for The Room on production and marketing;"
production,marketing,"According to Sestero, Wiseau made numerous poor decisions during filming that resulted in high marketing costs."
cast and crew,production,Many members of the cast and crew had to be replaced.
the room,high production costs,"Wiseau's poor decisions during filming, such as building sets and purchasing equipment instead of renting, resulted in inflated costs."
the room,replacement of cast and crew,Many members of the cast and crew had to be replaced due to unknown reasons.
tommy wiseau,high production costs,Wiseau's poor decisions during filming caused high production costs.
tommy wiseau,replacement of cast and crew,Wiseau selected actors from thousands of head shots for the film.
sestero,the room,"Sestero wrote, produced, and starred in the independent drama The Room."
tommy wiseau,sestero,"Wiseau was a co-star, co-writer, and co-producer of the film, alongside Sestero."
tommy wiseau,limited film experience,Most of the cast had limited film experience prior to working on The Room.
sestero,wiseau,friendship between Sestero and Wiseau before production began
mark,sestero,Sestero agreed to play the character 'Mark' after Wiseau fired the original actor on the first day of filming
lisa,juliette danielle,Danielle was originally one of three or four understudies for the Lisa character and was selected after the original actress left the production
latina actress,original actress for lisa role,The original actress was 'Latina' and came from an unidentified South American country
michelle,juliette danielle,Danielle was originally cast as Michelle but was given the Lisa role when the original actress was dismissed because her 'personality... didn't seem to fit'
personality,original actress for lisa role,The original actress' personality did not seem to fit the character
another actress hired to play michelle,michelle (key character),multiple actors were dismissed from the production prior to filming
peter (key character),climax,"Kyle Vogt's (who played Peter) scenes were not fully filmed by the time his schedule ran out, and his lines in the last half of the film were given to Ellery"
peter (key character),climax,"Despite the fact that Peter was to play a pivotal role in the climax, Vogt left the production"
ellery (character not introduced or explained),climax,"His lines in the last half of the film were given to Ellery, whose character is never introduced, explained, or addressed by name"
original script,significantly longer script with lengthy monologues,"was edited on-set by the cast and script supervisor Sandy Schklair, who found much of the dialogue incomprehensible"
anonymous cast member,entertainment weekly,said that the script contained 'stuff that was just unsayable'
wiseau (writer),characters say their lines as written,"was adamant characters say their lines as written, but that several cast members slipped in ad libs that made the final cut"
"oh, hi!",johnny's speech,"begin almost every conversation with 'Oh, hi!' or 'Oh, hi [name of character]!'"
don't worry about it,almost every male character discusses lisa's physical attractiveness,almost every male character use the phrase 'Don't worry about it' to dismissively end conversations
wiseau,executive producer credits,Wiseau's involvement as executive producer in the film.
lietzke,executive producer credits,"Lietzke's credited involvement as an executive producer, despite reported lack of involvement in the film."
caffrey,executive producer credits,"Caffrey's credited involvement as an executive producer, although he passed away before production began."
san francisco,greenscreen scenes,The use of green screens to depict San Francisco in the film.
johnny,subplot as a vampire,"Wiseau's plan to reveal Johnny as a vampire, which was not ultimately included in the final product."
lisa,physical attractiveness discussed by male characters,The frequent references made by male characters to Lisa's appearance.
don't worry about it,phrases used to end conversations,The fact that this phrase is commonly used in the context to terminate discussions.
wiseau,died in 1999.,Causal relation between person and event
wiseau,multiple crew members,Assigning multiple roles into one relationship
sestero,"line producer, helped with casting, and assisted wiseau.",Multiple roles into one relationship
schklair,de facto first assistant director,Multiple roles into one relationship
peter anway,another assistant to wiseau,Multiple roles into one relationship
soundtrack,the room,Association between soundtrack and movie
milicevic,the room,Composed the score for the movie
homeless in america,mladen milicevic,Composed the score for the documentary
oral sex scene,i will,"During the oral sex scene, the instrumental song 'I Will' by Jarah Gibson plays in the background."
oral sex scene,crazy,The instrumental song 'Crazy' by Clint Gamboa is played during the oral sex scene.
oral sex scene,baby you and me,"In the oral sex scene, the instrumental song 'Baby You and Me' by Gamboa with Bell Johnson is played."
end credits,you're my rose,"During the end credits of the movie, the song 'You're My Rose' by Kitra Williams & Reflection is reprised."
soundtrack,i will,"The instrumental song 'I Will' by Jarah Gibson is featured on the movie's soundtrack, released by Wiseau's TPW Records in 2003."
soundtrack,crazy,"Clint Gamboa's instrumental song 'Crazy' is included in the movie's soundtrack, released by TPW Records in 2003."
soundtrack,baby you and me,"The instrumental song 'Baby You and Me' by Gamboa with Bell Johnson is featured on the movie's soundtrack, released by TPW Records in 2003."
soundtrack,you're my rose,"Kitra Williams & Reflection's song 'You're My Rose' is included on the movie's soundtrack, released by TPW Records in 2003."
the room,music,"All music in this context, except where noted, is composed by Mladen Milicevic."
red dress,length,"""Red Dress"" has a length of 1:09"
i will,lead vocals,"""I Will"" is performed by Kitra Williams and Jarah Gibson, while Mladen Milicevic provides the composition."
lisa and mark,music,"No.Title 'Lisa and Mark' is one of the compositions by Mladen Milicevic, except where noted."
you're my rose,lead vocals,"""You're My Rose"" is performed by Kitra Williams and Wayman Davis, while Mladen Milicevic provides the composition."
red roses,length,"""Red Roses"" has a length of 3:15"
street,length,"""Street"" is a short composition that lasts for 0:53"
life,length,"""Life"" has a length of 2:43"
street two,length,"""Street Two"" is a short composition that lasts for 1:05"
crazy,lead vocals,"""Crazy"" is performed by Clint Gamboa, with Wayman Davis contributing to the composition."
chocolate is the symbol of love.,music,This statement refers to a musical composition by Mladen Milicevic.
chris-r,length,"""Chris-R"" has a length of 1:43"
reason,music,"No.Title 'Reason' is one of the compositions by Mladen Milicevic, except where noted."
johnny mark and denny on the roof,music,"No.Title 'Johnny Mark and Denny on the Roof' is one of the compositions by Mladen Milicevic, except where noted."
"lisa, michelle, and johnny",music,"No.Title 'Lisa, Michelle, and Johnny' is one of the compositions by Mladen Milicevic, except where noted."
yes or no,length,"""Yes or No"" has a length of 1:20"
i'll record everything.,music,This statement refers to a musical composition by Mladen Milicevic.
xyz,length,"""XYZ"" has a length of 1:05"
mark and peter,music,"No.Title 'Mark and Peter' is one of the compositions by Mladen Milicevic, except where noted."
jogging,length,"""Jogging"" has a length of 1:36"
baby you and me,music,"No.Title 'Baby You and Me' is one of the compositions by Mladen Milicevic, except where noted."
"happy birthday, johnny.",music,This statement refers to a musical composition by Mladen Milicevic.
reflection,length,"""Reflection"" is a short composition that lasts for an unknown length of time."
sometimes you're happy,length,"""Sometimes You're Happy"" has a length of approximately 2:35."
somewhere there's love,length,"""Somewhere There's Love"" has a length of about 3 minutes and 18 seconds."
lovely day,music,"No.Title 'Lovely Day' is one of the compositions by Mladen Milicevic, except where noted."
my world,length,"""My World"" has a length of approximately 3 minutes and 45 seconds."
schklair,wiseau,"In a 2011 Entertainment Weekly article, Schklair announced that he desired credit for directing The Room due to Wiseau becoming too engrossed with his acting duties to direct the film properly. Schklair told EW that Wiseau asked him to 'tell the actors what to do' and 'yell Action' and 'Cut' and tell the cameraman what shots to get.' This story is corroborated by one of the film's actors (who requested anonymity) and by Sestero in The Disaster Artist."
schklair,jumbo girl,Schklair left the production before the end of principal photography in favor of the short film Jumbo Girl due to that project being shot by Janusz Kamiński.
wiseau,director title,"Wiseau refused to give up the director title, even when Schklair took charge of numerous sequences in which Wiseau found himself unable to remember lines or adequately interact with the rest of the cast."
