node_1,node_2,edge
catherine tramell,kevin franks,"Tramell masturbated herself with Franks' hand while he was semi-unconscious, and then crashed the car into the Thames with him still in it. She attempted to save him but couldn't undo his seatbelt. The police found DTC, a neuromuscular blocking agent, in both their bodies."
catherine tramell,scotland yard detective superintendent roy washburn,"Washburn investigated the case of Franks' death and found evidence of DTC, which was also sold to Tramell by a drug dealer. Tramell denied his claims."
catherine tramell,dr. michael glass,"Tramell began therapy sessions with Glass, who became intrigued by her but also suspected she was a narcissist."
glass,tramell,manipulation and intrigue between the two psychiatrists
glass,ex-wife's journalist boyfriend,criticism of Glass leads to murder investigation involving Glass
glass,tramell's novel 'the analyst',"novelized events depicting Glass and Tramell as characters, with Glass's female colleague as the next murder victim"
glass,dr. milena gardosh,"struggle between Glass and Gardosh over Tramell's therapy, leading to Glass losing control of her treatment and Gardosh informing him about his license revocation"
glass,detective superintendent washburn,"confrontation between Glass and Washburn, with Glass shooting him before being tackled by police"
superintendent washburn,glass,"Superintendent Washburn arrives at the scene, Glass shoots him and points the gun at Tramell before police tackle him."
glass,tramell,"Glass shoots Superintendent Washburn, points the gun at Tramell before police tackle him."
glass,institutionalised,"Later, Tramell visits Glass, now apparently insensible and institutionalised at a mental hospital."
tramell,glass,"Tramell visits Glass, now apparently insensible and institutionalised at a mental hospital."
tramell,best seller,Tramell tells Glass that her novel has become a best seller.
glass,faking insanity,"She suspects he is faking insanity,"
tramell,framing,"Tramell suggests that Glass used her proximity to him as an excuse to murder his enemies, intending to frame her; flashbacks show Glass committing the murders."
glass,insanity,Flashbacks show Glass committing the murders.
tramell,inscription,"She gives him a copy of the book with the inscription ""I couldn't have done it without you."" "
glass,kissing,"Tramell kisses him and leaves,"
