node_1,node_2,edge
sharlto copley,wikus van de merwe,"Sharlto Copley played the role of Wikus van de Merwe, a mild-mannered, shy, bumbling, awkward bureaucrat at the MNU Department of Alien Affairs."
wikus van de merwe,mnu department of alien affairs,Wikus van de Merwe worked at the MNU Department of Alien Affairs.
jason cope,christopher johnson,"Jason Cope performed the role of Christopher Johnson, a District 9 prawn who assists Wikus in fighting MNU."
christopher johnson,district 9 prawns,Christopher Johnson is a District 9 prawn who assists Wikus in fighting MNU.
david james,colonel koobus venter,"David James played the role of Colonel Koobus Venter, an aggressive, sadistic, and xenophobic PMC mercenary-soldier sent to capture Wikus."
vanessa haywood,tania smit-van de merwe,"Vanessa Haywood played the role of Tania Smit-van de Merwe, Wikus's wife."
mandla gaduka,fundiswa mhlanga,"Mandla Gaduka played the role of Fundiswa Mhlanga, Wikus's assistant and trainee during the eviction."
eugene wanangwa khumbanyiwa,obesandjo,"Eugene Wanangwa Khumbanyiwa played the role of Obesandjo, a paralyzed psychopathic Nigerian gang leader who believes that eating alien body parts will enable him to operate their weapons."
louis minnaar,piet smit,"Louis Minnaar played the role of Piet Smit, managing director of MNU South Africa and Wikus's father-in-law."
kenneth nkosi,thomas,"Kenneth Nkosi played the role of Thomas, an MNU security guard and good friend of Wikus."
william allen young,dirk michaels,"William Allen Young played the role of Dirk Michaels, the CEO of MNU."
nathalie boltt,sarah livingstone,"Nathalie Boltt portrayed Sarah Livingstone, a sociologist at Kempton Park University."
william allen young,mnu,"Young portrays Dirk Michaels, the CEO of MNU in this context."
nathalie boltt,kempton park university,Boltt's character Sarah Livingstone is a sociologist at Kempton Park University as mentioned in the context.
sylvaine strike,department of social assistance,Strike's character Katrina McKenzie belongs to the Department of Social Assistance as described in the context.
john sumner,mil engineer,"Sumner plays Les Feldman, an MIL engineer in this context."
nick blake,civ engineer team,"Blake's character Francois Moraneu is a member of the CIV Engineer Team, as mentioned in the context."
jed brophy,saps alien crimes unit,Brophy's character James Hope is an officer with the SAPS Alien Crimes Unit as described in the context.
vittorio leonardi,mnu department of alien civil affairs,"Leonardi portrays Michael Bloemstein, who belongs to the MNU Department of Alien Civil Affairs as mentioned in the context."
johan van schoor,wikus's father,"Van Schoor plays Nicolas van de Merwe, Wikus's father as described in the context."
marian hooman,wikus's mother,"Hooman portrays Sandra van de Merwe, Wikus's mother as mentioned in the context."
jonathan taylor,doctor,Taylor plays the Doctor in this context.
stella steenkamp,mnu alien relations,Steenkamp's character Phyllis Sinderson belongs to MNU Alien Relations as described in the context.
tim gordon,wlg university,"Gordon plays Clive Henderson, an entomologist at WLG University as mentioned in the context."
nick boraine,lieutenant weldon,Boraine's character Lieutenant Weldon is Colonel Venter's right-hand man as described in the context.
robert hobbs,mnu mercenary,Hobbs plays an MNU mercenary in this context.
trevor coppola,mnu mercenary,Coppola's character is also a part of the MNU Mercenary team as mentioned in the context.
morne erasmus,mnu medic,Erasmus plays an MNU Medic in this context.
