node_1,node_2,edge
marigold lexton,bollywood musical,"arrived at the set of another movie, a Bollywood musical"
prem,prince,"he knows she lied about being able to dance, and takes her in hand while showing her the nearby towns and countryside in their spare time. As they grow closer Prem talks to her about the importance of family"
prem,father,he is estranged from his father
marigold lexton,family,"she learned that he is also a prince and after talking with Prem she not only learns that he is estranged from his father, but that he is also a prince. He had not seen his family in three years"
marigold,prem's family,generosity and opulence of his family leading up to the wedding
marigold,prem,total infatuation during the wedding
prem's family,long-arranged marriage,has been betrothed to another since childhood
prem,fiancé,"neglected to mention the long-arranged marriage, and his father has not encouraged him to follow his heart"
marigold,prem's fiancé,offered to buy her a drink
marigold,barry,"followed by Prem's fiancé, who offers to buy her a drink"
prem,drunken american,"heads to a bar to drown his sorrows, where he finds a drunken American who commiserates with his romantic problems"
marigold,barry,decides to return with Barry to the United States
prem,marriage,feels duty bound to marry the woman his father has chosen
prem,veil,believes he is marrying the woman he has been engaged to since childhood
marigold,guests,most of the guests are astonished to find Marigold standing before him
marigold,prem,"Marigold unexpectedly appears as Prem's wife after their marriage, shocking both Prem and the guests. This revelation suggests that Marigold was previously engaged to Prem."
barry,prem's former fiancé,"Barry is revealed to have married Prem's former fiancé, adding an unexpected twist to the already surprising events."
prem,happy ending in a bollywood musical,"Prem dances and sings with Marigold and a full chorus, similar to the end of a typical Bollywood movie."
