node_1,node_2,edge
griffin keyes,stephanie,"In 2006, Griffin proposes to Stephanie but is turned down. She says his career as a zookeeper is the reason for breaking his heart."
franklin park zoo,griffin keyes,Griffin is now the head zookeeper at the Franklin Park Zoo in 2011.
stephanie,franklin park zoo,"Stephanie was invited to Griffin's brother Dave's engagement party at the Franklin Park Zoo, which causes Griffin to freak out."
griffin keyes,dave,Griffin's brother Dave suggests that Griffin work with him at his car dealership to get Stephanie back.
jerome the brown bear,griffin keyes,"Jerome suggests that they teach Griffin their mating techniques to help him win back Stephanie, but Joe protests."
donald the monkey,stephanie,Donald suggests that they make Griffin look like a hero when Stephanie is at the zoo tomorrow to help him win her back.
griffin,bernie,"Griffin meets Bernie, a Western lowland gorilla who has been wrongly accused of attacking a zookeeper named Shane. Griffin learns that Bernie hates being in his enclosure and mistrusts humans because he was moved into a cement pit after the alleged attack. Griffin empathizes with Bernie and decides to take him out on the town, leading to their friendship."
griffin,stephanie,"Griffin is in love with Stephanie, but she has moved on. Griffin tries to win her back by following the mating rituals of other animals at a party, which leads to humiliation."
stephanie,gale,"Stephanie is currently dating Gale, an ex-boyfriend whom Griffin perceives as a bully."
janet,griffin,"Janet advises Griffin that the best way to attract a female is to be seen with another female. Griffin follows this advice by asking Kate, the zoo veterinarian, to accompany him to Dave and Robin's wedding."
griffin,kate,"Griffin successfully grabs Stephanie's attention by first showing off with Kate, then standing up to Gale. Kate decides to leave the zoo and accepts a job in Nairobi. Six months later, Griffin and Kate have started a loving relationship and are back at the zoo."
griffin,stephanie,"Griffin successfully grabs Stephanie's attention by first showing off with Kate, then standing up to Gale. Stephanie asks him out to dinner and after they go to a fashion show."
griffin,dave's job offer,Griffin accepts Dave's job offer.
griffin,success,"Griffin becomes a star employee at the car dealership, but finds he misses working at the zoo."
griffin,bernie,"As he leaves, Griffin warns Shane not to hurt Bernie."
griffin,proposal,"Stephanie proposes to him in the midst of his success, he refuses without hesitation, dumping her as he realizes that she doesn't truly love or accept him for who he is and that their relationship was all conditional to her."
griffin,zoo,"Griffin goes to the zoo, apologizing to Bernie who he sees has been beaten by Shane. The animals tell him that Kate is heading to the airport, so Griffin heads out to stop her; stopping at Shane's house first."
