node_1,node_2,edge
transformium,earth,"65 million years ago, an alien race known as the 'Creators' used devices called Seeds to cover Earth with a metallic alloy called 'Transformium', supposedly wiping out the dinosaurs in the process."
darcy tirrel,transformium,"Geologist Darcy Tirrel excavates the Transformium for K.S.I. Industries, using it to build Transformer drones."
creators,seeds,An alien race known as the 'Creators' used devices called Seeds...
transformers,hostile,"In the years after the Battle of Chicago, humans view Transformers as hostile and terminate all joint operations with them including NEST."
autobots,granted sanctuary,Though the public believes that the Autobots were granted sanctuary...
cemetery wind,rogue cia black ops division,"A rogue CIA black ops division, Cemetery Wind, led by opportunistic, rogue intelligence operative Harold Attinger..."
lockdown,cybertronian assassin and bounty hunter,"Lockdown, a Cybertronian assassin and bounty hunter working for the Creators..."
ratchet,dead,Locates and kills Ratchet when he refuses to give up Optimus's location.
optimus prime,badly damaged,"Optimus, badly damaged in Mexico City..."
cade yeager,inventor and single father,"Cade Yeager, a financially struggling inventor and a single father..."
tessa,cade yeager's daughter,Cade's teenage daughter Tessa and business partner Lucas Flannery encourage him to turn Optimus over to the authorities...
optimus,authorities,"Cade attempts to turn Optimus over to the authorities but instead fixes him, leading Lucas to alert the authorities which results in Attinger's field commanding operative attacking the Yeager farm. However, Optimus and Tessa's secret boyfriend, Irish rally car driver Shane Dyson, rescue the family during the pursuit, and Lucas is killed by one of Lockdown's grenades."
optimus,stefan,"Tessa's secret boyfriend, Stefan (Shane Dyson), helps Optimus and Tessa during the pursuit against Attinger's field commanding operative."
optimus,galvatron,"During the battle, Galvatron battles Optimus and gets autonomously freed from control."
joshua joyce,attinger,Joshua Joyce is in league with Attinger to revolutionize global defenses and improve human society using the Seed to make more Transformium.
brains,k.s.i.,The captured Brains is being used by K.S.I.'s headquarters in Chicago.
megatron's head,k.s.i.,The captured Megatron's head is being used by K.S.I.'s headquarters in Chicago.
galvatron,stinger,"Joshua Joyce has created prototype Transformer soldiers, Galvatron and Stinger using the captured Brains and Megatron's head."
james savoy,authorities,"Attinger's field commanding operative, James Savoy, attacks the Yeager farm to collect an advertised reward and alerts the authorities."
lockdown,optimus,"During the battle, Lockdown abducts both Optimus and Tessa while Galvatron retreats."
lockdown,optimus,arrives and abducts both Optimus and Tessa while Galvatron retreats.
lockdown's large prison spacecraft,chicago,hovers over Chicago to hand over the Seed
cade,shane,and the Autobots sneak on board to rescue Optimus and Tessa
galvatron,megatron,plotting to use the Seed and the Transformer drones to conquer the world
ksi,seed,plans to use the Seed in the Mongolian desert to create vast amounts of usable Transformium
joshua,darcy,agrees to hand over the Seed with help from Darcy and his Chinese business associate Su Yueming
galvatron,transformer drones,reactivates himself and takes control of the drones
cade,savoy,"sends Savoy plummeting to his death while Optimus frees the Dinobots and wins their allegiance through trial by combat, becoming essential to the Autobots' victory"
optimus,dinobots,"frees the Dinobots and wins their allegiance through trial by combat, becoming essential to the Autobots' victory"
galvatron,attinger,"Optimus kills Attinger to save Cade, but the distraction allows Lockdown to pin Optimus down with his sword."
lockdown,cade,"Ends up fighting Lockdown one-on-one while Tessa and Shane use a tow truck to free Optimus, who kills Lockdown before defeating the remaining drones with Lockdown's"
lockdown,optimus,"distracts Optimus during the fight in Hong Kong between the Autobots, Cemetery Wind, and the drones."
optimus,lockdown,"Optimus defeats Lockdown and uses his grenades to destroy the remaining drones, avenging Tessa and Shane who were held captive by him during the lockdown."
galvatron,optimus,"Galvatron retreats, vowing to return after being defeated by Optimus in a one-on-one battle during the lockdown."
yeagers,autobots,"Optimus asks the Autobots to protect the Yeagers after they offer their help in building a new home for the Autobots, following the lockdown."
joshua,autobots,"Joshua offers to help the Autobots build a new home and flies away into space with the Seed, sending a message to the Creators that he is coming for them during the lockdown."
