node_1,node_2,edge
andy weir,author,Author whose work is being adapted into a movie
dariusz wolski,cinematographer,Cameraman responsible for capturing the visual footage of the movie
arthur max,production designer,"Responsible for designing and creating the sets, locations and overall visual style of the movie"
janty yates,costume designer,Designs the costumes and clothing worn by the actors in the movie
pietro scalia,editor,Responsible for assembling and shaping the raw footage into a cohesive and engaging final product
the martian,ridley scott,"Director Ridley Scott brought the novel to his attention and was attracted by the emphasis on science, resulting in Scott's eventual commitment to direct the film."
drew goddard,the martian,Screenwriter Drew Goddard adapted Weir's 2011 novel into a screenplay for the film.
matt damon,the martian,"Actor Matt Damon expressed interest in starring in The Martian under Goddard's direction, but ultimately appeared in the film directed by Ridley Scott."
drew goddard,sinister six,"Goddard pursued an opportunity to direct Sinister Six, a comic book film about a team of supervillains, but ultimately did not follow through with this project."
simon kinberg,the martian,Producer Simon Kinberg was attached to develop the novel into a film and later brought the book to Scott's attention.
the martian,wadi rum,"External scenes on Mars in filming The Martian were filmed in Wadi Rum, a UNESCO world heritage site in Jordan."
korda studios,interior scenes of the martian,"Interior scenes of The Martian were filmed at Korda Studios, a location 26 kilometers west of Budapest, Hungary."
the martian,jordan,Filming in Jordan was chosen for depicting Mars due to the UNESCO world heritage site Wadi Rum's resemblance.
korda studios,actual potatoes,Actual potatoes were grown in a sound stage next to Korda Studios to show different stages of growth in film scenes.
the martian,mission to mars (2000),"Wadi Rum, a location used for depicting Mars in The Martian, had been used as a location for other films set on Mars such as Mission to Mars (2000)."
the martian,red planet (2000),"Wadi Rum, a location used for depicting Mars in The Martian, had been used as a location for other films set on Mars such as Red Planet (2000)."
the martian,the last days on mars (2013),"Wadi Rum, a location used for depicting Mars in The Martian, had been used as a location for other films set on Mars such as The Last Days on Mars (2013)."
the martian,mars rover model,"A special Mars rover model was built for the filming of The Martian, and presented to Jordan as a gesture of gratitude for their hospitality."
watney,isolation,"The scenes depicting Watney's isolation in the vast, dusty Martian landscape in the movie adaptation of Weir's novel are magnificently represented by exteriors shot in the vicinity of Wadi Rum in Jordan. Scott expected to film Watney as a Robinson Crusoe, a character in full isolation, but learned to film Watney differently since the character would be self-monitoring his behavior under the watch of various mission cameras."
earth,aridity,"The scenes back on Earth provide a hectic, densely populated counterweight to the Martian aridity depicted in the movie adaptation of Weir's novel. Todd McCarthy of The Hollywood Reporter wrote that these scenes offer a contrasting view to the barren and dry planet where Watney is stranded."
watney,humor,"While Watney's humor in Weir's novel is preserved in the movie adaptation, Scott also depicted the character's isolation and emotions in the vast, dusty Martian landscape."
touching the void,inspiration,Damon and Scott were inspired by the documentary film Touching the Void while creating the character of Watney in the movie adaptation of Weir's novel.
watney,self-monitoring behavior,Scott learned to film Watney differently since the character would be self-monitoring his behavior under the watch of various mission cameras in the movie adaptation of Weir's novel.
robinson crusoe,isolation,"Scott expected to film Watney as a Robinson Crusoe, a character in full isolation, in the movie adaptation of Weir's novel but had to change his approach due to the unique situation of the protagonist being self-monitoring."
the martian,nasa involvement,"According to Scott, the first cut of the movie was long and NASA's collaboration for depicting science and technology in The Martian began when the novel was first published. When Scott started preparing the film, author Andy Weir contacted NASA to collaborate on the film. When Scott and producer Mark Huffam had their first production meeting, they called NASA and spoke with its film and television liaison Bert Ulrich. NASA decided to help the filmmakers with depicting the science and technology in The Martian since it saw potential in promoting space exploration."
the martian,an extended cut of the movie was released on home video,"According to Scott, the first cut of the movie was 2 hours and 45 minutes long."
damon,nasa involvement,"When the novel was first published, NASA invited Andy Weir to tour the Johnson Space Center and Jet Propulsion Laboratory. During his tour, actor Matt Damon made hand prints in concrete at the Jet Propulsion Laboratory."
scott,green,Scott conversed with Green twice before filming started.
nasa staff members,green,Green is a director of the Planetary Science Division at NASA.
hundreds of questions,green,"NASA answered hundreds of questions on radioisotope systems, the look of potential 'habs', and more, which were answered by Green or passed on to the right expert."
mars images,green,"NASA provided hundreds of real images of Mars, which were down to what the computer screens look like."
control centers,green,"NASA provided hundreds of real images of control centers, including what the computer screens look like."
arthur max,green,Green arranged an eight-hour tour of the Johnson Space Center in Houston for production designer Arthur Max.
real images of mars,scott,"NASA provided hundreds of real images of Mars, which were down to what the computer screens look like."
control centers,scott,"NASA provided hundreds of real images of control centers, including what the computer screens look like."
the martian,nasa,"Collaborated extensively on the film, from script development through principal photography, and are now helping with marketing for the film's theatrical release. NASA presented a new web tool to follow Watney's trek across Mars in October 2015, as well as a health hazards report for a real-world human journey to Mars in 2016. The Los Angeles Times and The New York Times reported that NASA anticipated the film as a way to publicize a human mission to Mars, while Jim Erickson, NASA project manager, said the film would show moviegoers 'the risks and rewards' of humans traveling to Mars."
the martian,mars reconnaissance orbiter,"Signs of liquid water could be seen in photographs taken on Mars by the Mars Reconnaissance Orbiter in October 2015, timing that suggests NASA certainly has the whole cross-promotion thing down."
the martian,moviegoers,"Will show moviegoers 'the risks and rewards' of humans traveling to Mars, according to Jim Erickson, NASA project manager."
