node_1,node_2,edge
blood orchid (perrinnia immortalis),wexel hall,New York pharmaceutical firm Wexel Hall funds the search for Blood Orchid.
gordon mitchell,blood orchid (perrinnia immortalis),Researcher Gordon Mitchell is a part of the team searching for the Blood Orchid.
dr. jack byron,blood orchid (perrinnia immortalis),Researcher Dr. Jack Byron is a part of the team searching for the Blood Orchid.
sam rogers,blood orchid (perrinnia immortalis),Researcher Sam Rogers is a part of the team searching for the Blood Orchid.
gail stern,blood orchid (perrinnia immortalis),Researcher Gail Stern is a part of the team searching for the Blood Orchid.
cole burris,blood orchid (perrinnia immortalis),Researcher Cole Burris is a part of the team searching for the Blood Orchid.
dr. ben douglas,blood orchid (perrinnia immortalis),Researcher Dr. Ben Douglas is a part of the team searching for the Blood Orchid.
captain bill johnson,blood orchid (perrinnia immortalis),Guide Captain Bill Johnson accompanies the team searching for the Blood Orchid.
tran wu,blood orchid (perrinnia immortalis),Partner of Captain Bill Johnson accompanies the team searching for the Blood Orchid.
jungle (borneo),blood orchid (perrinnia immortalis),The team searching for the Blood Orchid travels to the jungle in Borneo.
crocodile,blood orchid (perrinnia immortalis),"Gail falls into the water, is attacked by a crocodile and later rescued by Captain Bill Johnson."
anaconda,blood orchid (perrinnia immortalis),The giant anaconda emerges from the water and swallows Ben. The rest of the team reaches the shore.
"livingston, john",blood orchid (perrinnia immortalis),The team calls for John Livingston to join them but he is attacked and his boat is wrecked.
orchids,blood orchid (perrinnia immortalis),"The orchids are a part of the food chain, and these snakes grow over unusually long lives."
anaconda,orchids,Disemboweled anaconda with human legs hanging out of its abdomen is found near the orchids.
gordon mitchell,orchids,Jack realizes that orchids must be nearby.
gail stern,orchids,Gail contends that the orchids may not work on humans.
orchids,humans,Gail contends that the orchids may not work on humans.
jack,escaping,The others rebel and start building an escape raft to leave the jungle.
livingston's radio and gun,hiding,Gordon discovers that Jack has hidden Livingston's radio and gun.
gordon,paralyzed,Jack paralyzes Gordon using a previously collected spider bite.
anaconda,swallowing,"An anaconda swallows Gordon alive as she informs the others, who arrive as it finishes."
jungle,hacking through,"The now-psychopathic Jack fails to convince them to continue with the expedition, so they hack through the jungle to beat Jack to the orchids and retrieve their raft."
cave,falling into,They fall into a cave trying to escape from an anaconda.
human skeletons,finding,Cole gets lost and finds human skeletons.
tran,pulled under and eaten,"A terrified Cole escapes from the cave, seconds ahead of the snake, which gets stuck in the hole. Sam beheads it with a machete, but another snake captures the hysterical Cole. The team finds him being constricted. Bill finds Tran's lost flashlight floating in bloody water. A terrified Cole escapes from the cave, seconds ahead of the snake, which gets stuck in the hole."
orchids,pit,The orchids grow above a pit where male anacondas are mating with the female.
jack,orchids,Jack forces the party to accompany him to the orchids.
sam,pit,Sam is forced to cross the pit via a thin log to fill a backpack with orchids.
sam,log,The log cracks as Sam returns from filling the backpack with orchids.
jack,backpack,Jack orders Sam to throw him the backpack filled with orchids.
sam,anacondas,"As one of the anacondas tries to get Sam, she climbs out of the pit."
gail,fuel container,Gail tricks the snake into biting their fuel container.
bill,gun,"Bill shoots it, but the gun is empty."
anaconda,fuel container,"The anaconda bites their fuel container, which Gail tricked into doing."
anaconda,landslide,An ensuing landslide buries the blood orchids due to the presence of the anaconda.
