node_1,node_2,edge
deadpool,ajax,Wade Wilson ambushes Ajax and a convoy of his men on an expressway.
wade wilson,ajax,"Wade Wilson is subjected to days of torture by Ajax and Angel Dust to trigger any mutation in his body, but it does not activate his regenerative healing factor."
deadpool,ajax's real name is francis,"Wade discovers Ajax's real name is Francis and mocks him for it, which causes Ajax to leave Deadpool in a hypobaric chamber that periodically takes him to the verge of asphyxiation over a weekend. This activates Deadpool's regenerative healing factor."
wade wilson,vanessa,Wade Wilson leaves Vanessa so she will not have to watch him die due to his terminal cancer diagnosis.
wade wilson,vanessa,"Wade proposes to sex worker Vanessa a year after meeting her, and she accepts."
wade,ajax,"in the chaos, Ajax subdues Wade and leaves him for dead"
vanessa,wade,seeks out Vanessa but does not reveal that he is alive out of fear that she will shun him because of his new scarred appearance
weasel,wade,"consults with his best friend Weasel, decides to hunt down Ajax for the cure"
deadpool,wade,"adopts the name ""Deadpool"" (from Weasel picking him in a dead pool)"
al,deadpool,moves into the home of an elderly blind woman named Al
recruiter,ajax's associates,"one, the recruiter, reveals Ajax's whereabouts"
ajax's henchmen,deadpool,subdues all of Ajax's henchmen
ajax,deadpool,"demands the cure, but the X-Men Colossus and his trainee Negasonic Teenage Warhead interrupt him"
colossus,deadpool,"attempts to convince Wade to mend his ways and join the X-Men, but Wade turns him down"
vanessa,ajax,kidnaps Vanessa and takes her to a decommissioned Helicarrier in a scrapyard
helicarrier,stable,"The Helicarrier's stability is maintained by supports, which are destroyed in this context."
deadpool,vanessa,"During the collapse of the Helicarrier, Deadpool protects Vanessa from harm."
colossus,negasonic teenage warhead,Colossus and Negasonic Teenage Warhead are both carried to safety during the collapse of the Helicarrier.
colossus,angel dust,Colossus carries Angel Dust to safety during the collapse of the Helicarrier.
ajax,deadpool,"Ajax attacks Deadpool again, but this time Wade overpowers him."
ajax,cure,Ajax reveals that a cure for Deadpool's condition never existed.
colossus,cable,"In the post-credits scene, it is announced that Cable will appear in the sequel. However, at this point in the story, Colossus suggests casting options for Cable."
vanessa,wade wilson,"After the collapse of the Helicarrier, Vanessa angrily berates Wade for leaving her. However, she later reconciles with him when she sees his disfigured face and learns the reason why he never came back to her."
