node_1,node_2,edge
sarman,mohenjo daro,"Sarman grew up in the village near Mohenjo Daro and has a strong connection to the city, as evidenced by his dreams and uncle's amulet."
sarman,hojo,"Sarman and Hojo are friends who attempt to sneak away from Sarman's village to Mohenjo Daro, but are caught by his uncle."
durjan,sarman,"Sarman's uncle initially refuses to allow him to go to Mohenjo Daro, but eventually relents."
maham,mohenjo daro,"Maham is the ruler of Mohenjo Daro and is attempting to impose additional taxes on the farmers, which Sarman leads the farmers to oppose."
chaani,sarman,Sarman is enchanted by Chaani's beauty and charm when he meets her in Mohenjo Daro.
sarman,head priest (manish choudhary),strangely appears to recognize Sarman
maham,sarman,"challenges Sarman to fight Bakar and Zokar, his two champions"
sarman,moonja's champions (bakar and zokhar),clash with in the arena outside the city
chaani,maham,forcibly betrothed to Maham's chosen one
srujan,sarman,revealed to be Sarman's father
durjan,sarman,Sarman's uncle who was coerced by Maham to betray Srujan
maham,srujan,framed and arrested for hoarding gold after discovering that the mighty Sindhu River held vast gold deposits
maham,senate chief srujan,took Srujan's place as the new Senate Chief after coercing Durjan and Chaani's father to betray Srujan
sarman,tajik mountain cannibals bakar and zokhar,"fights against outside the city, ultimately kills one but spares another"
sarman,moonja,saves Chaani and kills Moonja after he tries to finish off Chaani and the priest at Maham's behest
maham,chaani,urges Moonja to finish off Chaani and the priest
sarman,moonja,kills Moonja after he tries to finish off Chaani and the priest at Maham's behest
maham,gold from the sindhu,plans to use for enrichment and weapon smuggling
sarman,people's government,"suggests Mohenjo Daro needs a people's government, not a chief"
sarman,thunderstorm,realizes the dam will burst and the Sindhu River will flood Mohenjo Daro
maham,chained in the city square,is drowned as the city is destroyed when the dam collapses
sarman,river ganga,names after seeing the unicorn of his dreams while migrating to another river
