node_1,node_2,edge
bob harris,tokyo,Bob Harris arrives in Tokyo to appear in lucrative advertisements for Suntory's Hibiki whisky. He stays at the upscale Park Hyatt Tokyo and is miserable due to problems within his 25-year marriage and a midlife crisis.
bob harris,hibiki whisky,Bob Harris appears in lucrative advertisements for Suntory's Hibiki whisky.
charlotte,john,Charlotte is accompanying her husband John while he works as a celebrity photographer.
charlotte,tokyo,"Another American staying at the hotel, Charlotte is feeling similarly disenchanted in Tokyo and passes the time loitering around the hotel."
kelly,charlotte,"Charlotte is repelled by a vacuous Hollywood actress named Kelly, who is also at the hotel promoting a film."
bob harris,charlotte,Bob Harris and Charlotte frequently cross paths in the hotel and eventually introduce themselves to each other in the hotel bar.
john,charlotte,"When John is on assignment outside Tokyo, Charlotte invites Bob into the city to meet some local friends."
tokyo nightlife,bob harris,"Bob and Charlotte spend more time together, bonding over an evening in Tokyo, where they experience the city nightlife together."
karaoke box,bob harris,Bob Harris and Charlotte end up singing at a karaoke box.
karaoke box,bob,Bob was up singing at a karaoke box.
bob,charlotte,"In the days that follow, Bob and Charlotte spend more time together, and their friendship strengthens."
television,bob,"While watching television and drinking sake, while neither can sleep, the two share an intimate conversation about Charlotte's personal uncertainties and their married lives."
hotel bar,bob,"Bob has a cold conversation with his wife, then spends the night with a jazz singer from the hotel bar."
jazz singer,hotel bar,"While neither can sleep, the two share an intimate conversation about Charlotte's personal uncertainties and their married lives. The next morning while hearing the woman singing in Bob's room, leads to tension between Bob and Charlotte during a shabu-shabu lunch together later that day."
charlotte,bob,Bob reveals that he will be leaving Tokyo the following day.
hotel bar,bob,The pair re-encounter each other in the evening and Bob reveals that he will be leaving Tokyo the following day.
airport,bob,"On Bob's taxi ride to the airport, he sees Charlotte on a crowded street, stops the car, and walks to her."
charlotte,bob,Bob finally smiles for the first time when they share sincere but unsatisfactory goodbyes during his taxi ride to the airport.
street,charlotte,"The next morning, when Bob is leaving the hotel, he and Charlotte share sincere but unsatisfactory goodbyes on a crowded street."
bob,charlotte,The two share a kiss and say goodbye before Bob departs.
