node_1,node_2,edge
sayani gupta,pooja,Gaura is the sister of Pooja
aakash dabhade,satyendra rai,both are characters in the movie
veen harsh,anshu naharia,both are characters in the movie
mohammed zeeshan ayyub,nishad,both are characters in the movie
ronjini chakraborty,dr. malti ram,both are characters in the movie
sumbul touqeer,amali singh,both are characters in the movie
sushil pandey,chandrabhan,both are characters in the movie
shikha valmiki,shanu,both are characters in the movie
isha verma,mamta,both are characters in the movie
suchi,pooja,"Both are victims of a crime, and Gaura is the sister of one of them"
alim naqvi,ramlal naharia,both are characters in the movie
nawal shukla,mahantji,both are characters in the movie
shreya awasthi,archana rai,both are characters in the movie
shivam singh,bachchu rai,both are characters in the movie
iccha shankar,shanti prasad,both are characters in the movie
uday vir singh yadav,sukkha singh,both are characters in the movie
vivek kumar yadav,nokhai,both are characters in the movie
r.d. singh,subodh lal,both are characters in the movie
