node_1,node_2,edge
don griffin,bebe,"Don was about to perform oral sex on Bebe when Ellie interrupted them, causing all parties involved to feel embarrassed."
ellie griffin,don griffin,"Ex-spouses who were married for 20 years and are now divorced. Ellie interrupted Don's intimate moment with Bebe, his girlfriend of eight years."
ellie griffin,bebe,Former best friends who seem awkward after being interrupted by Ellie during an intimate moment between Don and Bebe.
alejandro,father moinighan,"Alejandro and his fiancée are meeting with Father Moinighan, the priest who will be marrying them. It is revealed that Alejandro's biological mother Madonna is going to be coming from Colombia to the wedding."
alejandro,don griffin,Divorced parents who are preparing for their adopted son Alejandro's wedding.
ellie griffin,alejandro,"Mother of adopted son Alejandro, coming from Colombia to the wedding which is causing Alejandro some anxiety because of his Catholic mother's disapproval."
lyla,jared,Sister and brother who are separated and talk about their personal lives at the hospital. Jared is revealed to be a virgin waiting for the 'right one'.
ellie,don,pretending to be married for the next three days
bebe,don,upset with Don after Alejandro's mother coming to the wedding
nuria,jared,skinnydipping in the family's lake and handjob under the table during dinner
ellie,nuria,explaining American women's behavior to Nuria during dinner
don,ellie,"having sex when Ellie, still pretending to be Don's wife, sleeps in Don's room"
madonna,ellie,talking during a walk in the woods and not understanding each other's language
bebe,don,"before the ceremony, Don tells Bebe that he had sex with Ellie"
bebe,ellie,Cheated on by Ellie's father before Don cheated on her
muffin,bebe,implies that she is interested in a sexual affair with both Bebe and Ellie as she reveals being bisexual
jared,nuria,sleep together after Nuria decides to no longer follow Ellie's advice about being not so sexually available
lyla,andrew,estranged husband Andrew arrives at the wedding and reconciles with her after finding out that she is pregnant
alejandro's mother,alejandro,realizes that she has been lied to about his family and forgives him as she starts to leave
don,bebe,proposes to Bebe and they get married on the spot after making up at the reception
