node_1,node_2,edge
vikram vedha,hindi remake of vikram vedha,"Development by Pushkar–Gayathri, co-produced by YNOT Studios, Friday Filmworks, T-Series Films and Reliance Entertainment, directed by Pushkar–Gayathri again"
vikram vedha,gritty tone,Maintained by the remake as intended by Pushkar–Gayathri
neeraj pandey,creative producer,Serves in the Hindi remake of Vikram Vedha
vikramaditya and betal,parallels with the film,Felt by Neeraj Pandey while working on the Hindi remake of Vikram Vedha
saif ali khan,police inspector vikram,Plays the role in the Hindi remake of Vikram Vedha
sartaj singh,saif ali khan's character in sacred games,Different from Vikram according to Saif Ali Khan
vikram,r. madhavan,"Relationship between Vikram and R. Madhavan in the original movie, as both characters appeared in it."
aamir khan,vikram,Replacement of Aamir Khan for Vikram's role due to his commitments.
hrithik roshan,vikram,Substitution of Hrithik Roshan for Aamir Khan's role due to his departure from the project.
saif ali khan,hrithik roshan,Collaboration of Saif and Roshan in Na Tum Jaano Na Hum (2002) and their reunion in Vikram Vedha.
vedha,hrithik roshan,Relationship between the character of Vedha played by Hrithik Roshan and his role in Vikram Vedha.
vedha,kanpur,"Origin of Vedha, being from Kanpur."
rohit saraf,vedha,Relationship between Rohit Saraf's character and Hrithik Roshan's role in Vikram Vedha.
radhika apte,vikram,Relationship between Radhika Apte's character as the lawyer wife of Vikram and his role in Vikram Vedha.
sharib hashmi,vikram vedha crew,"Collaboration between Sharib Hashmi, who played Babloo, and the crew of Vikram Vedha while filming."
yogita bihani,vikram vedha crew,"Collaboration between Yogita Bihani, who played Chanda, and the crew of Vikram Vedha while filming."
february 2021,vikram vedha,Planned start date for principal photography with Aamir Khan in the cast.
june 2021,vikram vedha,Revised start date for principal photography after Aamir Khan's departure.
october 2021,vikram vedha,Actual start date for principal photography in Abu Dhabi due to the unavailability of locations in India.
lucknow,vikram vedha sets,Adaptation of Lucknow sets from Tiger Zinda Hai (2017) for Vikram Vedha due to the unavailability of shooting locations in India.
abu dhabi,bio-bubble infrastructure,Reliance explained that UAE was 'the only location providing the infrastructure for a bio-bubble that accommodated crew of such scale'
abu dhabi,shooting sets in a studio during the preceding months of the shoot',"Reliance explained that UAE was 'the only location providing the infrastructure for a bio-bubble that accommodated crew of such scale, also allowing building of sets in a studio during the preceding months of the shoot'"
abu dhabi,health and protocol concerns,the film was shot there due to 'health and protocol concerns'
lucknow,second schedule,"after the Abu Dhabi schedule ended within 27 working days, the second schedule began in Lucknow in early December"
saif ali khan,completed portions,Saif Ali Khan finished his portions of the schedule by the end of the month
apte,finished filming,"Apte, whose schedule was only 10 days, finished filming most of her portions by 26 April 2022"
film,wrapped shooting,filming wrapped by 10 June 2022
